dataset,labelset,labelset_rank,label,iri
HMBA Basal Ganglia Consensus Taxonomy,Neighborhood,3,Glut Sero Dopa,https://purl.brain-bican.org/ontology/CS20250428/CS20250428_NEIGH_0000
HMBA Basal Ganglia Consensus Taxonomy,Neighborhood,3,Nonneuron,https://purl.brain-bican.org/ontology/CS20250428/CS20250428_NEIGH_0001
HMBA Basal Ganglia Consensus Taxonomy,Neighborhood,3,Subpallium GABA,https://purl.brain-bican.org/ontology/CS20250428/CS20250428_NEIGH_0002
HMBA Basal Ganglia Consensus Taxonomy,Neighborhood,3,Subpallium GABA-Glut,https://purl.brain-bican.org/ontology/CS20250428/CS20250428_NEIGH_0003
HMBA Basal Ganglia Consensus Taxonomy,Class,2,Astro-Epen,https://purl.brain-bican.org/ontology/CS20250428/CS20250428_CLASS_0000
HMBA Basal Ganglia Consensus Taxonomy,Class,2,M Dopa,https://purl.brain-bican.org/ontology/CS20250428/CS20250428_CLASS_0009
HMBA Basal Ganglia Consensus Taxonomy,Class,2,CN LGE GABA,https://purl.brain-bican.org/ontology/CS20250428/CS20250428_CLASS_0003
HMBA Basal Ganglia Consensus Taxonomy,Class,2,CN CGE GABA,https://purl.brain-bican.org/ontology/CS20250428/CS20250428_CLASS_0001
HMBA Basal Ganglia Consensus Taxonomy,Class,2,CN GABA-Glut,https://purl.brain-bican.org/ontology/CS20250428/CS20250428_CLASS_0002
HMBA Basal Ganglia Consensus Taxonomy,Class,2,F M Glut,https://purl.brain-bican.org/ontology/CS20250428/CS20250428_CLASS_0007
HMBA Basal Ganglia Consensus Taxonomy,Class,2,Immune,https://purl.brain-bican.org/ontology/CS20250428/CS20250428_CLASS_0008
HMBA Basal Ganglia Consensus Taxonomy,Class,2,CN MGE GABA,https://purl.brain-bican.org/ontology/CS20250428/CS20250428_CLASS_0005
HMBA Basal Ganglia Consensus Taxonomy,Class,2,F M GABA,https://purl.brain-bican.org/ontology/CS20250428/CS20250428_CLASS_0006
HMBA Basal Ganglia Consensus Taxonomy,Class,2,OPC-Oligo,https://purl.brain-bican.org/ontology/CS20250428/CS20250428_CLASS_0010
HMBA Basal Ganglia Consensus Taxonomy,Class,2,Vascular,https://purl.brain-bican.org/ontology/CS20250428/CS20250428_CLASS_0011
HMBA Basal Ganglia Consensus Taxonomy,Class,2,Cx GABA,https://purl.brain-bican.org/ontology/CS20250428/CS20250428_CLASS_0012
HMBA Basal Ganglia Consensus Taxonomy,Subclass,1,CN ONECUT1 GABA,https://purl.brain-bican.org/ontology/CS20250428/CS20250428_SUBCL_0007
HMBA Basal Ganglia Consensus Taxonomy,Subclass,1,CN MEIS2 GABA,https://purl.brain-bican.org/ontology/CS20250428/CS20250428_SUBCL_0006
HMBA Basal Ganglia Consensus Taxonomy,Subclass,1,CN VIP GABA,https://purl.brain-bican.org/ontology/CS20250428/CS20250428_SUBCL_0009
HMBA Basal Ganglia Consensus Taxonomy,Subclass,1,CN ST18 GABA,https://purl.brain-bican.org/ontology/CS20250428/CS20250428_SUBCL_0008
HMBA Basal Ganglia Consensus Taxonomy,Subclass,1,CN LAMP5-LHX6 GABA,https://purl.brain-bican.org/ontology/CS20250428/CS20250428_SUBCL_0003
HMBA Basal Ganglia Consensus Taxonomy,Subclass,1,CN LAMP5-CXCL14 GABA,https://purl.brain-bican.org/ontology/CS20250428/CS20250428_SUBCL_0002
HMBA Basal Ganglia Consensus Taxonomy,Subclass,1,CN LHX8 GABA,https://purl.brain-bican.org/ontology/CS20250428/CS20250428_SUBCL_0005
HMBA Basal Ganglia Consensus Taxonomy,Subclass,1,CN Cholinergic GABA,https://purl.brain-bican.org/ontology/CS20250428/CS20250428_SUBCL_0001
HMBA Basal Ganglia Consensus Taxonomy,Subclass,1,Astrocyte,https://purl.brain-bican.org/ontology/CS20250428/CS20250428_SUBCL_0000
HMBA Basal Ganglia Consensus Taxonomy,Subclass,1,Macrophage,https://purl.brain-bican.org/ontology/CS20250428/CS20250428_SUBCL_0018
HMBA Basal Ganglia Consensus Taxonomy,Subclass,1,F M Glut,https://purl.brain-bican.org/ontology/CS20250428/CS20250428_SUBCL_0017
HMBA Basal Ganglia Consensus Taxonomy,Subclass,1,Microglia,https://purl.brain-bican.org/ontology/CS20250428/CS20250428_SUBCL_0019
HMBA Basal Ganglia Consensus Taxonomy,Subclass,1,CN GABA-Glut,https://purl.brain-bican.org/ontology/CS20250428/CS20250428_SUBCL_0014
HMBA Basal Ganglia Consensus Taxonomy,Subclass,1,F Glut,https://purl.brain-bican.org/ontology/CS20250428/CS20250428_SUBCL_0013
HMBA Basal Ganglia Consensus Taxonomy,Subclass,1,F M GATA3 GABA,https://purl.brain-bican.org/ontology/CS20250428/CS20250428_SUBCL_0016
HMBA Basal Ganglia Consensus Taxonomy,Subclass,1,Lymphocyte,https://purl.brain-bican.org/ontology/CS20250428/CS20250428_SUBCL_0015
