candidate	level	radius_mm	n_universe	n_in_universe	median_nn_um	mean_log_nn_mm	score	p_value	median_normal_um	median_tangent_um	top_substructures
1144 CB PLI Gly-Gaba_1	supertype	0.1	177447	2606	21.58	-3.867	1.762	0.000999	0.5176	17.89	SIM:512; CUL4, 5:422; ANcr1:255
309 CB PLI Gly-Gaba	subclass	0.1	177447	3009	22.45	-3.816	1.674	0.000999	0.6976	18.73	SIM:539; CUL4, 5:479; ANcr1:276
1145 CB PLI Gly-Gaba_2	supertype	0.1	177447	130	24.19	-3.723	1.526	0.000999	1.771	21.11	CUL4, 5:24; PFL:16; ANcr2:12
310 CBX Golgi Gly-Gaba	subclass	0.1	177447	845	31.01	-3.516	1.24	0.000999	3.851	24.26	SIM:153; CUL4, 5:137; ANcr1:92
1147 CB PLI Gly-Gaba_4	supertype	0.1	177447	168	32.81	-3.491	1.21	0.000999	6.268	22.85	NOD:51; CUL4, 5:24; SIM:20
1146 CB PLI Gly-Gaba_3	supertype	0.1	177447	105	46.6	-3.179	0.8857	0.9421	4.421	33.52	PFL:24; CUL4, 5:9; UVU:9
311 CBX MLI Megf11 Gaba	subclass	0.1	177447	38818	49.6	-3.147	0.8582	1	11.04	34.67	SIM:6387; ANcr1:4598; CUL4, 5:4554
312 CBX MLI Cdh22 Gaba	subclass	0.1	177447	6256	66.21	-2.828	0.6238	1	27.64	45.01	SIM:914; ANcr1:745; CUL4, 5:666
1144 CB PLI Gly-Gaba_1	supertype	0.3	443074	3018	24.39	-3.56	3.35	0.000999	2.258	21.13	SIM:521; CUL4, 5:445; ANcr1:260
309 CB PLI Gly-Gaba	subclass	0.3	443074	3703	28.01	-3.412	2.887	0.000999	3.655	23.24	SIM:548; CUL4, 5:516; ANcr1:286
1145 CB PLI Gly-Gaba_2	supertype	0.3	443074	182	35.41	-3.168	2.264	0.000999	7.55	29.05	CUL4, 5:29; arb:23; PFL:21
1147 CB PLI Gly-Gaba_4	supertype	0.3	443074	228	42.61	-3.006	1.924	0.000999	13.59	33.02	NOD:59; arb:26; CUL4, 5:26
310 CBX Golgi Gly-Gaba	subclass	0.3	443074	1414	70.43	-2.824	1.604	0.000999	12.35	39.12	CUL4, 5:243; SIM:198; ANcr1:124
311 CBX MLI Megf11 Gaba	subclass	0.3	443074	75249	96.28	-2.505	1.166	0.000999	29.16	57.76	SIM:10889; CUL4, 5:10121; ANcr1:9506
1146 CB PLI Gly-Gaba_3	supertype	0.3	443074	275	134.5	-2.279	0.9307	0.8801	55.45	84.93	arb:51; PFL:46; FL:18
312 CBX MLI Cdh22 Gaba	subclass	0.3	443074	17175	127	-2.183	0.845	1	54.45	75.61	CUL4, 5:2395; ANcr1:2210; SIM:2111
1144 CB PLI Gly-Gaba_1	supertype	1	832708	3376	28.28	-3.283	6.027	0.000999	4.663	23.9	SIM:521; CUL4, 5:446; arb:283
309 CB PLI Gly-Gaba	subclass	1	832708	4229	33.69	-3.104	5.037	0.000999	7.015	28.22	SIM:548; CUL4, 5:520; arb:421
1145 CB PLI Gly-Gaba_2	supertype	1	832708	207	48.15	-2.902	4.116	0.000999	10.72	34.46	arb:30; CUL4, 5:30; PFL:21
310 CBX Golgi Gly-Gaba	subclass	1	832708	1487	76.85	-2.729	3.462	0.000999	13.25	43.59	CUL4, 5:271; SIM:198; ANcr1:124
311 CBX MLI Megf11 Gaba	subclass	1	832708	76167	97.71	-2.488	2.72	0.000999	29.92	58.6	SIM:10901; CUL4, 5:10363; ANcr1:9609
1147 CB PLI Gly-Gaba_4	supertype	1	832708	324	78.95	-2.389	2.465	0.000999	44.19	56.96	NOD:59; arb:50; IP:30
312 CBX MLI Cdh22 Gaba	subclass	1	832708	17455	128.7	-2.165	1.969	0.000999	55.41	76.55	CUL4, 5:2495; ANcr1:2248; SIM:2114
1146 CB PLI Gly-Gaba_3	supertype	1	832708	322	157.9	-2.071	1.793	0.000999	84.78	95.42	arb:58; PFL:46; FL:19
