cc_curie,cc_label,token_position,token_text,token_simplified_type,token_type,token_name,primary_identifier,secondary_identifier,tertiary_identifier,original_part
WMB:CS20230722_SUPT_0001,0001 CLA-EPd-CTX Car3 Glut_1,1,CLA,anatomical,structure,Claustrum,MBA:583,UBERON:0002023,,CLA-EPd-CTX
WMB:CS20230722_SUPT_0001,0001 CLA-EPd-CTX Car3 Glut_1,2,EPd,anatomical,structure,"Endopiriform nucleus, dorsal part",MBA:952,,,CLA-EPd-CTX
WMB:CS20230722_SUPT_0001,0001 CLA-EPd-CTX Car3 Glut_1,3,CTX,anatomical,structure,Cerebral cortex,MBA:688,UBERON:0000956,,CLA-EPd-CTX
WMB:CS20230722_SUPT_0001,0001 CLA-EPd-CTX Car3 Glut_1,4,Car3,gene,gene,carbonic anhydrase 3,ENSEMBL:ENSMUSG00000027559,NCBIGene:12350,ABAGene:12135,Car3
WMB:CS20230722_SUPT_0001,0001 CLA-EPd-CTX Car3 Glut_1,4,Glut,cell type,neurotransmission,glutamatergic neuron,CL:0000679,,,Glut
WMB:CS20230722_CLUS_0001,0001 CLA-EPd-CTX Car3 Glut_1,1,CLA,anatomical,structure,Claustrum,MBA:583,UBERON:0002023,,CLA-EPd-CTX
WMB:CS20230722_CLUS_0001,0001 CLA-EPd-CTX Car3 Glut_1,2,EPd,anatomical,structure,"Endopiriform nucleus, dorsal part",MBA:952,,,CLA-EPd-CTX
WMB:CS20230722_CLUS_0001,0001 CLA-EPd-CTX Car3 Glut_1,3,CTX,anatomical,structure,Cerebral cortex,MBA:688,UBERON:0000956,,CLA-EPd-CTX
WMB:CS20230722_CLUS_0001,0001 CLA-EPd-CTX Car3 Glut_1,4,Car3,gene,gene,carbonic anhydrase 3,ENSEMBL:ENSMUSG00000027559,NCBIGene:12350,ABAGene:12135,Car3
WMB:CS20230722_CLUS_0001,0001 CLA-EPd-CTX Car3 Glut_1,4,Glut,cell type,neurotransmission,glutamatergic neuron,CL:0000679,,,Glut
WMB:CS20230722_CLUS_0002,0002 CLA-EPd-CTX Car3 Glut_1,1,CLA,anatomical,structure,Claustrum,MBA:583,UBERON:0002023,,CLA-EPd-CTX
WMB:CS20230722_CLUS_0002,0002 CLA-EPd-CTX Car3 Glut_1,2,EPd,anatomical,structure,"Endopiriform nucleus, dorsal part",MBA:952,,,CLA-EPd-CTX
WMB:CS20230722_CLUS_0002,0002 CLA-EPd-CTX Car3 Glut_1,3,CTX,anatomical,structure,Cerebral cortex,MBA:688,UBERON:0000956,,CLA-EPd-CTX
WMB:CS20230722_CLUS_0002,0002 CLA-EPd-CTX Car3 Glut_1,4,Car3,gene,gene,carbonic anhydrase 3,ENSEMBL:ENSMUSG00000027559,NCBIGene:12350,ABAGene:12135,Car3
WMB:CS20230722_CLUS_0002,0002 CLA-EPd-CTX Car3 Glut_1,4,Glut,cell type,neurotransmission,glutamatergic neuron,CL:0000679,,,Glut
WMB:CS20230722_SUPT_0002,0002 CLA-EPd-CTX Car3 Glut_2,1,CLA,anatomical,structure,Claustrum,MBA:583,UBERON:0002023,,CLA-EPd-CTX
