class_curie,class_label,cluster_curie,cluster_label,labelset,cell_curie,cell_label,mapping_curie,mapping_label,mapping_type
WMB:CS20230722_CLAS_01,01 IT-ET Glut,WMB:CS20230722_SUBC_001,001 CLA-EPd-CTX Car3 Glut,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'subclass']",PCL:0110061,CLA-EPd-CTX Car3 Glut neuron (Mmus),MBA:583,Claustrum,anatomical
WMB:CS20230722_CLAS_02,02 NP-CT-L6b Glut,WMB:CS20230722_SUBC_027,027 L6b EPd Glut,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'subclass']",PCL:0110087,L6b EPd Glut L6b glutamatergic cortical neuron (Mmus),MBA:952,"Endopiriform nucleus, dorsal part",anatomical
WMB:CS20230722_CLAS_01,01 IT-ET Glut,WMB:CS20230722_SUBC_001,001 CLA-EPd-CTX Car3 Glut,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'subclass']",PCL:0110061,CLA-EPd-CTX Car3 Glut neuron (Mmus),MBA:952,"Endopiriform nucleus, dorsal part",anatomical
WMB:CS20230722_CLAS_05,05 OB-IMN GABA,WMB:CS20230722_SUBC_045,045 OB-STR-CTX Inh IMN,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'subclass']",PCL:0110105,OB-STR-CTX Inh IMN neuron (Mmus),MBA:688,Cerebral cortex,anatomical
WMB:CS20230722_CLAS_02,02 NP-CT-L6b Glut,WMB:CS20230722_SUBC_032,032 L5 NP CTX Glut,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'subclass']",PCL:0110092,L5 NP CTX Glut L5/6 near-projecting glutamatergic neuron (Mmus),MBA:688,Cerebral cortex,anatomical
WMB:CS20230722_CLAS_06,06 CTX-CGE GABA,WMB:CS20230722_CLAS_06,06 CTX-CGE GABA,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'class']",PCL:0110006,CTX-CGE GABA caudal ganglionic eminence derived cortical interneuron (Mmus),MBA:688,Cerebral cortex,anatomical
WMB:CS20230722_CLAS_07,07 CTX-MGE GABA,WMB:CS20230722_CLAS_07,07 CTX-MGE GABA,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'class']",PCL:0110007,CTX-MGE GABA medial ganglionic eminence derived GABAergic cortical interneuron (Mmus),MBA:688,Cerebral cortex,anatomical
WMB:CS20230722_CLAS_01,01 IT-ET Glut,WMB:CS20230722_SUBC_001,001 CLA-EPd-CTX Car3 Glut,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'subclass']",PCL:0110061,CLA-EPd-CTX Car3 Glut neuron (Mmus),MBA:688,Cerebral cortex,anatomical
WMB:CS20230722_CLAS_01,01 IT-ET Glut,WMB:CS20230722_SUBC_002,002 IT EP-CLA Glut,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'subclass']",PCL:0110062,IT EP-CLA Glut neuron (Mmus),MBA:942,Endopiriform nucleus,anatomical
WMB:CS20230722_CLAS_02,02 NP-CT-L6b Glut,WMB:CS20230722_SUBC_028,028 L6b/CT ENT Glut,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'subclass']",PCL:0110088,L6b/CT ENT Glut L6b glutamatergic cortical neuron (Mmus),MBA:909,Entorhinal area,anatomical
WMB:CS20230722_CLAS_01,01 IT-ET Glut,WMB:CS20230722_SUBC_003,003 L5/6 IT TPE-ENT Glut,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'subclass']",PCL:0110063,L5/6 IT TPE-ENT Glut intratelencephalic-projecting glutamatergic cortical neuron (Mmus),MBA:909,Entorhinal area,anatomical
WMB:CS20230722_CLAS_02,02 NP-CT-L6b Glut,WMB:CS20230722_SUBC_030,030 L6 CT CTX Glut,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'subclass']",PCL:0110090,L6 CT CTX Glut L6b glutamatergic cortical neuron (Mmus),UBERON:0005395,cortical layer VI,anatomical
WMB:CS20230722_CLAS_01,01 IT-ET Glut,WMB:CS20230722_SUBC_004,004 L6 IT CTX Glut,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'subclass']",PCL:0110064,L6 IT CTX Glut L6 intratelencephalic projecting glutamatergic neuron (Mmus),UBERON:0005395,cortical layer VI,anatomical
WMB:CS20230722_CLAS_02,02 NP-CT-L6b Glut,WMB:CS20230722_SUBC_032,032 L5 NP CTX Glut,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'subclass']",PCL:0110092,L5 NP CTX Glut L5/6 near-projecting glutamatergic neuron (Mmus),UBERON:0005394,cortical layer V,anatomical
WMB:CS20230722_CLAS_04,04 DG-IMN Glut,WMB:CS20230722_SUBC_038,038 DG-PIR Ex IMN,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'subclass']",PCL:0110098,DG-PIR Ex IMN neuron (Mmus),MBA:961,Piriform area,anatomical
WMB:CS20230722_CLAS_01,01 IT-ET Glut,WMB:CS20230722_SUBC_009,009 L2/3 IT PIR-ENTl Glut,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'subclass']",PCL:0110069,L2/3 IT PIR-ENTl Glut L2/3 intratelencephalic projecting glutamatergic neuron (Mmus),MBA:961,Piriform area,anatomical
WMB:CS20230722_CLAS_01,01 IT-ET Glut,WMB:CS20230722_SUBC_009,009 L2/3 IT PIR-ENTl Glut,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'subclass']",PCL:0110069,L2/3 IT PIR-ENTl Glut L2/3 intratelencephalic projecting glutamatergic neuron (Mmus),MBA:918,"Entorhinal area, lateral part",anatomical
WMB:CS20230722_CLAS_01,01 IT-ET Glut,WMB:CS20230722_SUBC_010,010 IT AON-TT-DP Glut,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'subclass']",PCL:0110070,IT AON-TT-DP Glut intratelencephalic-projecting glutamatergic cortical neuron (Mmus),MBA:159,Anterior olfactory nucleus,anatomical
WMB:CS20230722_CLAS_01,01 IT-ET Glut,WMB:CS20230722_SUBC_010,010 IT AON-TT-DP Glut,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'subclass']",PCL:0110070,IT AON-TT-DP Glut intratelencephalic-projecting glutamatergic cortical neuron (Mmus),MBA:589,Taenia tecta,anatomical
WMB:CS20230722_CLAS_01,01 IT-ET Glut,WMB:CS20230722_SUBC_010,010 IT AON-TT-DP Glut,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'subclass']",PCL:0110070,IT AON-TT-DP Glut intratelencephalic-projecting glutamatergic cortical neuron (Mmus),MBA:814,Dorsal peduncular area,anatomical
WMB:CS20230722_CLAS_01,01 IT-ET Glut,WMB:CS20230722_SUBC_011,011 L2 IT ENT-po Glut,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'subclass']",PCL:0110071,L2 IT ENT-po Glut L2 intratelencephalic projecting glutamatergic neuron (Mmus),UBERON:0005391,cortical layer II,anatomical
WMB:CS20230722_CLAS_13,13 CNU-HYa Glut,WMB:CS20230722_SUBC_121,121 MEA-BST Otp Zic2 Glut,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'subclass']",PCL:0110181,MEA-BST Otp Zic2 Glut neuron (Mmus),MBA:403,Medial amygdalar nucleus,anatomical
WMB:CS20230722_CLAS_11,11 CNU-HYa GABA,WMB:CS20230722_SUBC_075,075 MEA-BST Lhx6 Nr2e1 Gaba,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'subclass']",PCL:0110135,MEA-BST Lhx6 Nr2e1 Gaba neuron (Mmus),MBA:403,Medial amygdalar nucleus,anatomical
WMB:CS20230722_CLAS_01,01 IT-ET Glut,WMB:CS20230722_SUBC_012,012 MEA Slc17a7 Glut,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'subclass']",PCL:0110072,MEA Slc17a7 Glut neuron (Mmus),MBA:403,Medial amygdalar nucleus,anatomical
WMB:CS20230722_CLAS_01,01 IT-ET Glut,WMB:CS20230722_SUBC_015,015 ENTmv-PA-COAp Glut,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'subclass']",PCL:0110075,ENTmv-PA-COAp Glut neuron (Mmus),MBA:647,"Cortical amygdalar area, posterior part",anatomical
WMB:CS20230722_CLAS_01,01 IT-ET Glut,WMB:CS20230722_SUBC_014,014 LA-BLA-BMA-PA Glut,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'subclass']",PCL:0110074,LA-BLA-BMA-PA Glut neuron (Mmus),MBA:131,Lateral amygdalar nucleus,anatomical
WMB:CS20230722_CLAS_01,01 IT-ET Glut,WMB:CS20230722_SUBC_014,014 LA-BLA-BMA-PA Glut,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'subclass']",PCL:0110074,LA-BLA-BMA-PA Glut neuron (Mmus),MBA:295,Basolateral amygdalar nucleus,anatomical
WMB:CS20230722_CLAS_13,13 CNU-HYa Glut,WMB:CS20230722_SUBC_113,113 MEA-COA-BMA Ccdc42 Glut,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'subclass']",PCL:0110173,MEA-COA-BMA Ccdc42 Glut neuron (Mmus),MBA:319,Basomedial amygdalar nucleus,anatomical
WMB:CS20230722_CLAS_01,01 IT-ET Glut,WMB:CS20230722_SUBC_014,014 LA-BLA-BMA-PA Glut,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'subclass']",PCL:0110074,LA-BLA-BMA-PA Glut neuron (Mmus),MBA:319,Basomedial amygdalar nucleus,anatomical
WMB:CS20230722_CLAS_01,01 IT-ET Glut,WMB:CS20230722_SUBC_015,015 ENTmv-PA-COAp Glut,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'subclass']",PCL:0110075,ENTmv-PA-COAp Glut neuron (Mmus),MBA:780,Posterior amygdalar nucleus,anatomical
WMB:CS20230722_CLAS_01,01 IT-ET Glut,WMB:CS20230722_SUBC_016,016 CA1-ProS Glut,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'subclass']",PCL:0110076,CA1-ProS Glut hippocampal CA1-3 neuron (Mmus),MBA:382,Field CA1,anatomical
