parent_curie,parent_label,parent_labelset,cluster_count,is_consistent,consistent_neurotransmitters,pattern_variety,all_patterns
WMB:CS20230722_SUPT_0946,0946 IPN-LDT Vsx2 Nkx6-1 Glut_1,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'supertype']",7,True,Glut,1,Glut
WMB:CS20230722_SUPT_0947,0947 IPN-LDT Vsx2 Nkx6-1 Glut_2,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'supertype']",5,True,Glut,1,Glut
WMB:CS20230722_SUPT_0944,0944 PB-NTS Phox2b Ebf3 Lmx1b Glut_2,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'supertype']",8,True,Glut,1,Glut
WMB:CS20230722_SUPT_0945,0945 PRNr Otp Nfib Glut_1,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'supertype']",3,True,Glut,1,Glut
WMB:CS20230722_SUPT_0943,0943 PB-NTS Phox2b Ebf3 Lmx1b Glut_1,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'supertype']",9,True,Glut,1,Glut
WMB:CS20230722_SUPT_0940,0940 PSV Pvalb Lhx2 Glut_2,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'supertype']",2,True,Glut,1,Glut
WMB:CS20230722_SUPT_0948,0948 LDT Vsx2 Nkx6-1 Nfib Glut_1,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'supertype']",8,True,Glut,1,Glut
WMB:CS20230722_SUPT_0960,0960 NTS Phox2b Glut_2,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'supertype']",8,True,Glut,1,Glut
WMB:CS20230722_SUPT_0961,0961 NTS Phox2b Glut_3,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'supertype']",11,True,Glut,1,Glut
WMB:CS20230722_SUPT_0957,0957 PRP-NI-PRNc-GRN Otp Glut_3,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'supertype']",8,True,Glut,1,Glut
WMB:CS20230722_SUPT_0958,0958 PRP-NI-PRNc-GRN Otp Glut_4,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'supertype']",4,True,Glut,1,Glut
WMB:CS20230722_SUPT_0955,0955 PRP-NI-PRNc-GRN Otp Glut_1,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'supertype']",2,True,Glut,1,Glut
WMB:CS20230722_SUPT_0956,0956 PRP-NI-PRNc-GRN Otp Glut_2,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'supertype']",6,True,Glut,1,Glut
WMB:CS20230722_SUPT_0953,0953 PG-TRN-LRN Fat2 Glut_1,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'supertype']",3,True,Glut,1,Glut
WMB:CS20230722_SUPT_0954,0954 IRN Vip Glut_1,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'supertype']",4,True,Glut,1,Glut
WMB:CS20230722_SUPT_0959,0959 NTS Phox2b Glut_1,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'supertype']",12,True,Glut,1,Glut
WMB:CS20230722_SUPT_0925,0925 PCG-PRNr Vsx2 Nkx6-1 Glut_1,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'supertype']",2,True,Glut,1,Glut
WMB:CS20230722_SUPT_0922,0922 PB Evx2 Glut_9,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'supertype']",9,True,Glut,2,Glut-Chol|Glut
WMB:CS20230722_SUPT_0923,0923 B-PB Nr4a2 Glut_1,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'supertype']",7,True,Glut,1,Glut
WMB:CS20230722_SUPT_0920,0920 PB Evx2 Glut_7,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'supertype']",4,True,Glut,1,Glut
WMB:CS20230722_SUPT_0921,0921 PB Evx2 Glut_8,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'supertype']",7,True,Glut,1,Glut
WMB:CS20230722_SUPT_0929,0929 PCG-PRNr Vsx2 Nkx6-1 Glut_5,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'supertype']",4,True,Glut,1,Glut
WMB:CS20230722_SUPT_0926,0926 PCG-PRNr Vsx2 Nkx6-1 Glut_2,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'supertype']",8,True,Glut,1,Glut
WMB:CS20230722_SUPT_0927,0927 PCG-PRNr Vsx2 Nkx6-1 Glut_3,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'supertype']",6,True,Glut,1,Glut
WMB:CS20230722_SUPT_0935,0935 PRNc-PARN Tlx1 Glut_1,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'supertype']",4,True,Glut,1,Glut
WMB:CS20230722_SUPT_0936,0936 PRNc-PARN Tlx1 Glut_2,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'supertype']",2,True,Glut,1,Glut
