taxonomy_level,cell_set,cell_count,percentage_of_total
neurotransmitter,Glut,2054137,50.808
neurotransmitter,GABA,834601,20.643
neurotransmitter,GABA-Glyc,36490,0.903
neurotransmitter,Dopa,9396,0.232
neurotransmitter,Glut-GABA,8989,0.222
neurotransmitter,Chol,7582,0.188
neurotransmitter,Sero,1469,0.036
neurotransmitter,Nora,626,0.015
neurotransmitter,Hist,534,0.013
class,01 IT-ET Glut,1095484,27.096
class,31 OPC-Oligo,545179,13.485
class,02 NP-CT-L6b Glut,310198,7.673
class,30 Astro-Epen,308681,7.635
class,29 CB Glut,141106,3.49
class,06 CTX-CGE GABA,139032,3.439
class,33 Vascular,137493,3.401
class,07 CTX-MGE GABA,122085,3.02
class,19 MB Glut,120552,2.982
class,18 TH Glut,115401,2.854
class,09 CNU-LGE GABA,115160,2.848
class,05 OB-IMN GABA,107502,2.659
class,34 Immune,92580,2.29
class,12 HY GABA,90376,2.235
class,04 DG-IMN Glut,84352,2.086
class,20 MB GABA,82032,2.029
class,11 CNU-HYa GABA,78482,1.941
class,14 HY Glut,66984,1.657
class,28 CB GABA,51226,1.267
class,13 CNU-HYa Glut,45685,1.13
class,27 MY GABA,33311,0.824
class,10 LSX GABA,30313,0.75
class,24 MY Glut,27543,0.681
class,23 P Glut,25303,0.626
class,26 P GABA,20206,0.5
class,08 CNU-MGE GABA,18849,0.466
class,16 HY MM Glut,13730,0.34
class,17 MH-LH Glut,10770,0.266
class,03 OB-CR Glut,4767,0.118
class,21 MB Dopa,4301,0.106
class,22 MB-HB Sero,2466,0.061
class,32 OEC,1132,0.028
class,25 Pineal Glut,504,0.012
class,15 HY Gnrh1 Glut,191,0.005
subclass,327 Oligo NN,422574,10.452
subclass,006 L4/5 IT CTX Glut,369221,9.132
subclass,030 L6 CT CTX Glut,201912,4.994
subclass,007 L2/3 IT CTX Glut,172213,4.26
subclass,319 Astro-TE NN,154311,3.817
subclass,318 Astro-NT NN,140669,3.479
subclass,314 CB Granule Glut,133778,3.309
subclass,326 OPC NN,122605,3.033
subclass,004 L6 IT CTX Glut,108913,2.694
subclass,333 Endo NN,88011,2.177
subclass,334 Microglia NN,86232,2.133
subclass,037 DG Glut,82343,2.037
subclass,041 OB-in Frmd7 Gaba,79816,1.974
subclass,151 TH Prkcd Grin2c Glut,68480,1.694
subclass,053 Sst Gaba,67388,1.667
subclass,005 L5 IT CTX Glut,66624,1.648
subclass,046 Vip Gaba,62447,1.545
subclass,009 L2/3 IT PIR-ENTl Glut,61035,1.51
subclass,049 Lamp5 Gaba,54484,1.348
subclass,032 L5 NP CTX Glut,43739,1.082
subclass,052 Pvalb Gaba,42314,1.047
subclass,062 STR D2 Gaba,36963,0.914
subclass,061 STR D1 Gaba,36287,0.898
subclass,020 L2/3 IT RSP Glut,33940,0.839
subclass,010 IT AON-TT-DP Glut,32454,0.803
subclass,311 CBX MLI Megf11 Gaba,31619,0.782
subclass,016 CA1-ProS Glut,31474,0.778
subclass,001 CLA-EPd-CTX Car3 Glut,30090,0.744
subclass,019 L2/3 IT PPP Glut,28457,0.704
subclass,028 L6b/CT ENT Glut,26788,0.663
subclass,331 Peri NN,24907,0.616
subclass,002 IT EP-CLA Glut,24813,0.614
subclass,022 L5 ET CTX Glut,24721,0.611
subclass,008 L2/3 IT ENT Glut,21111,0.522
subclass,014 LA-BLA-BMA-PA Glut,20485,0.507
subclass,181 IC Tfap2d Maf Glut,20187,0.499
subclass,029 L6b CTX Glut,20098,0.497
subclass,047 Sncg Gaba,18840,0.466
subclass,064 STR-PAL Chst9 Gaba,18689,0.462
subclass,213 SCsg Gabrr2 Gaba,15799,0.391
subclass,113 MEA-COA-BMA Ccdc42 Glut,14851,0.367
subclass,332 SMC NN,14614,0.361
subclass,101 ZI Pax6 Gaba,13885,0.343
subclass,150 CM-IAD-CL-PCN Sema5b Glut,13604,0.336
subclass,013 COAp Grxcr2 Glut,13481,0.333
subclass,168 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut,13287,0.329
