class,AQ,CB,CTXsp,HPF,HY,Isocortex,MB,MY,OLF,P,PAL,STR,TH,V3,V4,VL,brain-unassigned,cbf,cm,eps,fiber tracts-unassigned,lfbs,mfbs,scwm,unassigned
01 IT-ET Glut,0.0,0.0,0.0353000235789858,0.14657762430308885,2.586082313478813e-05,0.6706608961535828,1.5212248902816548e-06,0.0,0.12871844409118222,0.0,0.00012017676633225073,0.00747377788595377,1.5212248902816548e-06,6.084899561126619e-06,0.0,0.0008047279669589954,0.0007286667224449127,0.0,0.0006678177268336465,0.0,0.00021449270952971332,0.004527165273478205,0.0025663063899051515,0.001110494169905608,0.0004943980893415378
02 NP-CT-L6b Glut,0.0,0.0,0.018269455026043692,0.11347992752019806,0.0,0.7853892201245074,0.0,0.0,0.02066152769721144,0.0,0.0,0.004742284070590064,0.0,0.0,0.0,6.578199845711313e-05,0.00011362345188046812,0.0,0.0004664541708777113,0.0,0.0,0.021678158582457734,0.010495218844748503,0.024572566514570713,6.578199845711313e-05
03 OB-CR Glut,0.0,0.0,0.0012350761630300535,0.14831206257719226,0.0003087690407575134,0.013688760806916427,0.0004116920543433512,0.0,0.6670440510498148,0.0,0.001543845203787567,0.006278303828736106,0.0002058460271716756,0.0005146150679291889,0.0,0.0003087690407575134,0.007204610951008645,0.0,0.14121037463976946,0.0,0.0003087690407575134,0.0001029230135858378,0.0005146150679291889,0.0,0.010806916426512969
04 DG-IMN Glut,0.0,0.0,0.0018064587849480295,0.9742371185592796,0.0,0.00041687510421877606,0.0,0.0,0.002834750708687677,0.0,0.0,0.008865543883052638,0.0,0.0,0.0,0.000389083430604191,0.000805958534822967,0.0,2.779167361458507e-05,0.0,0.0012506253126563281,0.004363292757489856,0.004863542882552387,0.00013895836807292536,0.0
05 OB-IMN GABA,0.0,0.0,0.0017336944142137631,0.002948545974538736,1.2654703753385133e-05,0.004429146313684797,1.2654703753385133e-05,0.0,0.7956644984940903,0.0,0.0003037128900812432,0.019956467819088355,1.2654703753385133e-05,0.0,0.0,0.036344309179722104,0.00017716585254739186,0.0,0.07748475108197717,0.0,0.0001138923337804662,0.04937865404570879,0.004846751537546506,0.002113335526815317,0.004467110424944952
06 CTX-CGE GABA,0.0,0.0,0.04250543754916933,0.176616224721181,0.00046277014207043364,0.6087278448794484,9.255402841408673e-05,0.0,0.11305474570780694,0.0,0.00303114443056134,0.020963487435790643,0.0002545235781387385,4.627701420704336e-05,0.0,0.0008561247628303022,0.0013883104262113009,0.0,0.003540191586838817,0.0,0.00041649312786339027,0.009995835068721367,0.007057244666574113,0.0036558841223564256,0.007334906751816373
07 CTX-MGE GABA,0.0,0.0,0.044594578880658625,0.18701815179599288,5.814156307778178e-05,0.657685733223252,0.0,0.0,0.0715141225856716,0.0,0.0005000174424689233,0.008290986894891682,3.488493784666907e-05,3.488493784666907e-05,0.0,0.002348919148342384,0.001209344512017861,0.0,0.0013256276381734247,0.0,0.0003953626289289161,0.011325976487551891,0.0095119597195251,0.003883856413595823,0.0002674511901577962
08 CNU-MGE GABA,0.0,0.0,0.02006565449322938,0.004308576118178088,0.04004924086992204,0.03475584735330324,0.00016413623307345098,0.0,0.030775543701272057,4.1034058268362744e-05,0.408822322527698,0.419573245794009,0.00016413623307345098,8.206811653672549e-05,0.0,0.0022158391464915882,0.00036930652441526465,0.0,0.0034058268362741075,4.1034058268362744e-05,0.00045137464095199015,0.025235945835043086,0.00734509643003693,0.0018054985638079606,0.00032827246614690195
09 CNU-LGE GABA,0.0,0.0,0.011544254938571854,6.276183452842327e-05,0.0006589992625484443,0.0008786656833979258,0.0,0.0,0.020150471498281895,0.0,0.027054273296408454,0.9103839455227276,4.707137589631745e-05,3.9226146580264545e-06,0.0,0.004809125570740432,0.00026281518208777244,0.0,0.0016357303123970314,0.0,0.00022751165016553435,0.018369604443537885,0.0022672712723392904,6.276183452842327e-05,0.001580813707184661
10 LSX GABA,0.0,0.0,0.0,0.0075058048490739245,0.0013499649009125762,0.0002159943841460122,0.0,0.0,0.006911820292672391,0.0,0.018683514228630054,0.8954047194772936,0.0004859873643285275,0.0062098385441978505,0.0,0.0012419677088395702,0.0062098385441978505,0.0,0.0001079971920730061,0.0,0.0002159943841460122,0.008153788001511961,0.04724877153194017,0.0,5.399859603650305e-05
