cluster,AQ,CB,CTXsp,HPF,HY,Isocortex,MB,MY,OLF,P,PAL,STR,TH,V3,V4,VL,brain-unassigned,cbf,cm,eps,fiber tracts-unassigned,lfbs,mfbs,scwm,unassigned
0001 CLA-EPd-CTX Car3 Glut_1,0.0,0.0,0.23384615384615384,0.002564102564102564,0.0,0.4717948717948718,0.0,0.0,0.23384615384615384,0.0,0.0,0.0005128205128205128,0.0,0.0,0.0,0.0,0.0,0.0,0.0005128205128205128,0.0,0.0,0.03487179487179487,0.0010256410256410256,0.021025641025641025,0.0
0002 CLA-EPd-CTX Car3 Glut_1,0.0,0.0,0.2001696352841391,0.06022052586938083,0.0,0.5911789652247668,0.0,0.0,0.030534351145038167,0.0,0.0,0.0,0.0,0.0,0.0,0.002544529262086514,0.0,0.0,0.0,0.0,0.0,0.09499575911789652,0.0033927056827820186,0.016963528413910092,0.0
0003 CLA-EPd-CTX Car3 Glut_1,0.0,0.0,0.11306740027510316,0.0002751031636863824,0.0,0.8365887207702889,0.0,0.0,0.0024759284731774417,0.0,0.0,0.0005502063273727648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03548830811554333,0.0016506189821182944,0.009903713892709767,0.0
0004 CLA-EPd-CTX Car3 Glut_1,0.0,0.0,0.024292205522544564,0.0005242922055225446,0.0,0.9369101712687872,0.0,0.0,0.003844809507165327,0.0,0.0,0.0006990562740300594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013981125480601188,0.0,0.01974833974134918,0.0
0005 CLA-EPd-CTX Car3 Glut_2,0.0,0.0,0.22141296431172613,0.004369992716678805,0.0,0.4850691915513474,0.0,0.0,0.22141296431172613,0.0,0.0,0.0021849963583394027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05462490895848507,0.0,0.010924981791697014,0.0
0006 IT EP-CLA Glut_1,0.0,0.0,0.15639097744360902,0.01804511278195489,0.0,0.649624060150376,0.0,0.0,0.007518796992481203,0.0,0.0,0.0030075187969924814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11278195488721804,0.045112781954887216,0.007518796992481203,0.0
0007 IT EP-CLA Glut_1,0.0,0.0,0.4945612762871646,0.049311094996374184,0.0,0.3263234227701233,0.0,0.0,0.006526468455402465,0.0,0.0,0.0,0.0,0.0,0.0,0.0029006526468455403,0.0007251631617113851,0.0,0.0,0.0,0.0,0.09934735315445975,0.02030456852791878,0.0,0.0
0008 IT EP-CLA Glut_1,0.0,0.0,0.2695238095238095,0.011428571428571429,0.0,0.5676190476190476,0.0,0.0,0.040952380952380955,0.0,0.0,0.024761904761904763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07428571428571429,0.0009523809523809524,0.010476190476190476,0.0
0009 IT EP-CLA Glut_1,0.0,0.0,0.440567066521265,0.0,0.0,0.1941112322791712,0.0,0.0,0.31842966194111233,0.0,0.0,0.011995637949836423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03489640130861505,0.0,0.0,0.0
0010 IT EP-CLA Glut_1,0.0,0.0,0.3254237288135593,0.01694915254237288,0.0,0.4033898305084746,0.0,0.0,0.17966101694915254,0.0,0.0,0.003389830508474576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05423728813559322,0.0,0.013559322033898305,0.003389830508474576
0011 IT EP-CLA Glut_1,0.0,0.0,0.5361702127659574,0.0,0.0,0.33617021276595743,0.0,0.0,0.0425531914893617,0.0,0.0,0.00851063829787234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07659574468085106,0.0,0.0,0.0
0012 IT EP-CLA Glut_1,0.0,0.0,0.08885017421602788,0.004645760743321719,0.0,0.7915214866434379,0.0,0.0,0.006387921022067364,0.0,0.0,0.011033681765389082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06794425087108014,0.0,0.029616724738675958,0.0
0013 IT EP-CLA Glut_2,0.0,0.0,0.39464882943143814,0.08695652173913043,0.0,0.32441471571906355,0.0,0.0,0.04013377926421405,0.0,0.0,0.0,0.0,0.0,0.0,0.0033444816053511705,0.0,0.0,0.0,0.0,0.0,0.12709030100334448,0.020066889632107024,0.0,0.0033444816053511705
0014 IT EP-CLA Glut_2,0.0,0.0,0.1650485436893204,0.47249190938511326,0.0,0.16828478964401294,0.0,0.0,0.025889967637540454,0.0,0.0,0.0,0.0,0.0,0.0,0.003236245954692557,0.0,0.0,0.0,0.0,0.0,0.12944983818770225,0.03559870550161812,0.0,0.0
0015 IT EP-CLA Glut_2,0.0,0.0,0.12264150943396226,0.3867924528301887,0.0,0.25471698113207547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009433962264150943,0.0,0.0,0.0,0.0,0.0,0.2169811320754717,0.009433962264150943,0.0,0.0
0016 IT EP-CLA Glut_2,0.0,0.0,0.20238095238095238,0.04931972789115646,0.0,0.1360544217687075,0.0,0.0,0.5697278911564626,0.0,0.0,0.0017006802721088435,0.0,0.0,0.0,0.0,0.0,0.0,0.0017006802721088435,0.0,0.0,0.0391156462585034,0.0,0.0,0.0
0017 IT EP-CLA Glut_2,0.0,0.0,0.4373956594323873,0.07345575959933222,0.0,0.07345575959933222,0.0,0.0,0.3121869782971619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08514190317195326,0.018363939899833055,0.0,0.0
0018 IT EP-CLA Glut_3,0.0,0.0,0.650887573964497,0.0,0.0,0.0,0.0,0.0,0.2603550295857988,0.0,0.0,0.07100591715976332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01775147928994083,0.0,0.0
0019 IT EP-CLA Glut_3,0.0,0.0,0.45698924731182794,0.0,0.0,0.053763440860215055,0.0,0.0,0.46774193548387094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016129032258064516,0.005376344086021506,0.0,0.0
0020 IT EP-CLA Glut_3,0.0,0.0,0.40350877192982454,0.0,0.0,0.03508771929824561,0.0,0.0,0.49122807017543857,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017543859649122806,0.0,0.0
0021 IT EP-CLA Glut_4,0.0,0.0,0.22424242424242424,0.0,0.0,0.10757575757575757,0.0,0.0,0.6515151515151515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010606060606060607,0.0,0.0,0.004545454545454545,0.0,0.0015151515151515152,0.0
0022 IT EP-CLA Glut_4,0.0,0.0,0.06442577030812324,0.0,0.0,0.07282913165266107,0.0,0.0,0.8389355742296919,0.0,0.0,0.011204481792717087,0.0,0.0,0.0,0.0,0.0,0.0,0.0056022408963585435,0.0,0.0,0.0056022408963585435,0.0,0.0014005602240896359,0.0
0023 L5/6 IT TPE-ENT Glut_1,0.0,0.0,0.14105852179995337,0.07927255770575892,0.0,0.7258102121706691,0.0,0.0,0.04476567964560504,0.0,0.00023315458148752622,0.005362555374213103,0.0,0.0,0.0,0.0,0.0,0.0,0.00023315458148752622,0.0,0.0,0.0011657729074376311,0.0018652366519002097,0.0,0.00023315458148752622
0024 L5/6 IT TPE-ENT Glut_1,0.0,0.0,0.017676767676767676,0.6262626262626263,0.0,0.18181818181818182,0.0,0.0,0.10353535353535354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05808080808080808,0.010101010101010102,0.0025252525252525255,0.0
0025 L5/6 IT TPE-ENT Glut_1,0.0,0.0,0.0,0.6259541984732825,0.0,0.37404580152671757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0026 L5/6 IT TPE-ENT Glut_2,0.0,0.0,0.006356544351343542,0.07483386304536262,0.0,0.9055186362323028,0.0,0.0,0.005778676683039584,0.0,0.0,0.001444669170759896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004334007512279688,0.0,0.0011557353366079169,0.0005778676683039584
0027 L5/6 IT TPE-ENT Glut_2,0.0,0.0,0.0010030090270812437,0.6349047141424273,0.0,0.3279839518555667,0.0,0.0,0.025075225677031094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007021063189568706,0.0010030090270812437,0.0010030090270812437,0.0020060180541624875
0028 L5/6 IT TPE-ENT Glut_2,0.0,0.0,0.002257336343115124,0.16252821670428894,0.0,0.8284424379232506,0.0,0.0,0.004514672686230248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002257336343115124,0.0,0.0
0029 L5/6 IT TPE-ENT Glut_3,0.0,0.0,0.021176470588235293,0.004705882352941176,0.0,0.9670588235294117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007058823529411765,0.0,0.0,0.0
0030 L5/6 IT TPE-ENT Glut_4,0.0,0.0,0.0006775067750677507,0.8414634146341463,0.0,0.14905149051490515,0.0,0.0,0.0040650406504065045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027100271002710027,0.0013550135501355014,0.0,0.0006775067750677507
0031 L5/6 IT TPE-ENT Glut_5,0.0,0.0,0.0,0.09068627450980392,0.0,0.9068627450980392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024509803921568627,0.0,0.0,0.0
0032 L5/6 IT TPE-ENT Glut_6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0033 L6 IT CTX Glut_1,0.0,0.0,0.0,0.04009433962264151,0.0,0.9575471698113207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023584905660377358,0.0,0.0,0.0
0034 L6 IT CTX Glut_1,0.0,0.0,0.020134228187919462,0.004793863854266539,0.0,0.9232981783317353,0.0,0.0,0.005752636625119847,0.0,0.0,0.004793863854266539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028763183125599234,0.004793863854266539,0.007670182166826462,0.0
0035 L6 IT CTX Glut_1,0.0,0.0,0.0,0.004123711340206186,0.0,0.9896907216494846,0.0,0.0,0.002061855670103093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004123711340206186,0.0,0.0
0036 L6 IT CTX Glut_1,0.0,0.0,0.07653910149750416,0.0,0.0,0.7470881863560732,0.0,0.0,0.0033277870216306157,0.0,0.0,0.04326123128119801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10149750415973377,0.008319467554076539,0.018302828618968387,0.0016638935108153079
0037 L6 IT CTX Glut_1,0.0,0.0,0.0004957858205255329,0.07387208725830441,0.0,0.9028259791769956,0.0,0.0,0.0,0.0,0.0,0.0009915716410510659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006445215666831929,0.0,0.015369360436291522,0.0
0038 L6 IT CTX Glut_2,0.0,0.0,0.010717230008244023,0.00247320692497939,0.0,0.7889530090684254,0.0,0.0,0.03297609233305853,0.0,0.0,0.025556471558120363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11046990931574609,0.0,0.028854080791426217,0.0
0039 L6 IT CTX Glut_2,0.0,0.0,0.0,0.0,0.0,0.9986486486486487,0.0,0.0,0.0010395010395010396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00031185031185031187,0.0,0.0,0.0
0040 L6 IT CTX Glut_2,0.0,0.0,0.003204614645088928,0.0035250761095978207,0.0,0.914917481172889,0.0,0.0,0.0004806921967633392,0.0,0.0,0.013459381509373498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03669283768626823,0.0014420765902900176,0.02627784008972921,0.0
0041 L6 IT CTX Glut_2,0.0,0.0,0.001480993911469475,0.005759420766825736,0.0,0.9318742800724041,0.0,0.0,0.0003291097581043278,0.0,0.0,0.01859470133289452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02649333552739839,0.0008227743952608195,0.014645384235642586,0.0
0042 L6 IT CTX Glut_2,0.0,0.0,0.00015740594994490792,0.0,0.0,0.9957500393514875,0.0,0.0,0.00015740594994490792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002203683299228711,0.00015740594994490792,0.0015740594994490791,0.0
0043 L6 IT CTX Glut_2,0.0,0.0,0.0,0.0011807924429283652,0.0,0.9912096562581999,0.0,0.0,0.0011807924429283652,0.0,0.0,0.0005247966413014956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036735764891104696,0.0,0.0022303857255313564,0.0
0044 L6 IT CTX Glut_3,0.0,0.0,0.014380530973451327,0.0,0.0,0.963495575221239,0.0,0.0,0.004424778761061947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012168141592920354,0.0,0.0055309734513274336,0.0
0045 L6 IT CTX Glut_3,0.0,0.0,0.0030120481927710845,0.004518072289156626,0.0,0.9784136546184738,0.0,0.0,0.0050200803212851405,0.0,0.0,0.004016064257028112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025100401606425703,0.0,0.0025100401606425703,0.0
0046 L6 IT CTX Glut_3,0.0,0.0,0.0,0.0014097744360902255,0.0,0.9953007518796992,0.0,0.0,0.0,0.0,0.0,0.00046992481203007516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00046992481203007516,0.0,0.002349624060150376,0.0
0047 L6 IT CTX Glut_3,0.0,0.0,0.0,0.0,0.0,0.999003984063745,0.0,0.0,0.00049800796812749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00049800796812749,0.0
0048 L6 IT CTX Glut_3,0.0,0.0,0.0,0.0008460236886632825,0.0,0.9915397631133672,0.0,0.0,0.0,0.0,0.0,0.0008460236886632825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025380710659898475,0.0,0.004230118443316413,0.0
0049 L6 IT CTX Glut_4,0.0,0.0,0.02030456852791878,0.04568527918781726,0.0,0.9137055837563451,0.0,0.0,0.01015228426395939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005076142131979695,0.0,0.005076142131979695,0.0
0050 L6 IT CTX Glut_4,0.0,0.0,0.0,0.02100840336134454,0.0,0.9747899159663865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004201680672268907,0.0
0051 L6 IT CTX Glut_4,0.0,0.0,0.0,0.005128205128205128,0.0,0.9948717948717949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0052 L6 IT CTX Glut_4,0.0,0.0,0.0005770340450086555,0.01673398730525101,0.0,0.9728793998845932,0.0,0.0,0.0,0.0,0.0,0.0005770340450086555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002308136180034622,0.0,0.006924408540103866,0.0
0053 L6 IT CTX Glut_5,0.0,0.0,0.0,0.0,0.0,0.9967897271268058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032102728731942215,0.0,0.0,0.0
0054 L6 IT CTX Glut_5,0.0,0.0,0.0007173601147776184,0.004782400765184123,0.0,0.9909134385461502,0.0,0.0,0.0,0.0,0.0,0.001673840267814443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007173601147776184,0.00047824007651841227,0.00047824007651841227,0.00023912003825920613
0055 L5 IT CTX Glut_1,0.0,0.0,0.006825938566552901,0.0,0.0,0.9658703071672355,0.0,0.0,0.0034129692832764505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017064846416382253,0.0,0.006825938566552901,0.0
0056 L5 IT CTX Glut_1,0.0,0.0,0.0,0.005633802816901409,0.0,0.992018779342723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014084507042253522,0.0,0.0009389671361502347,0.0
0057 L5 IT CTX Glut_1,0.0,0.0,0.0,0.002962962962962963,0.0,0.997037037037037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0058 L5 IT CTX Glut_2,0.0,0.0,0.0,0.017837235228539576,0.0,0.9818840579710145,0.0,0.0,0.0002787068004459309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0059 L5 IT CTX Glut_2,0.0,0.0,0.0,0.014097744360902255,0.0,0.9830827067669173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002819548872180451,0.0,0.0,0.0
0060 L5 IT CTX Glut_2,0.0,0.0,0.0,0.0016114592658907788,0.0,0.9948075201432408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035810205908683975,0.0,0.0,0.0
0061 L5 IT CTX Glut_3,0.0,0.0,0.0,0.00031338138514572234,0.0,0.999582158153139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010446046171524079,0.0,0.0
0062 L5 IT CTX Glut_3,0.0,0.0,0.0,0.014450867052023121,0.0,0.9816955684007708,0.0,0.0,0.0009633911368015414,0.0,0.0,0.0009633911368015414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009633911368015414,0.0,0.0009633911368015414,0.0
0063 L5 IT CTX Glut_4,0.0,0.0,0.0,0.0013280212483399733,0.0,0.99867197875166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0064 L5 IT CTX Glut_4,0.0,0.0,0.0,0.011589403973509934,0.0,0.9884105960264901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0065 L5 IT CTX Glut_5,0.0,0.0,0.006711409395973154,0.0,0.0,0.9932885906040269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0066 L4/5 IT CTX Glut_1,0.0,0.0,0.0,0.028308563340410473,0.0,0.9667374380750177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004953998584571833,0.0,0.0,0.0
0067 L4/5 IT CTX Glut_1,0.0,0.0,0.0004192872117400419,0.007966457023060796,0.0,0.990356394129979,0.0,0.0,0.0008385744234800838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004192872117400419
0068 L4/5 IT CTX Glut_1,0.0,0.0,0.0,0.012682926829268294,0.0,0.9873170731707317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0069 L4/5 IT CTX Glut_1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0070 L4/5 IT CTX Glut_1,0.0,0.0,0.0,0.00039085401602501464,0.0,0.9990228649599374,0.0,0.0,0.00039085401602501464,0.0,0.0,0.00019542700801250732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0071 L4/5 IT CTX Glut_1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0072 L4/5 IT CTX Glut_1,0.0,0.0,0.0,0.0020434227330779057,0.0,0.9964240102171137,0.0,0.0,0.0015325670498084292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0073 L4/5 IT CTX Glut_1,0.0,0.0,0.0,0.0019801980198019802,0.0,0.998019801980198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0074 L4/5 IT CTX Glut_1,0.0,0.0,0.0,0.0020695364238410598,0.0,0.9979304635761589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0075 L4/5 IT CTX Glut_2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0076 L4/5 IT CTX Glut_2,0.0,0.0,0.0,0.0,0.0,0.988,0.0,0.0,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0077 L4/5 IT CTX Glut_2,0.0,0.0,0.0,0.0006031363088057901,0.0,0.9963811821471653,0.0,0.0,0.0030156815440289505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
