supertype,AQ,CB,CTXsp,HPF,HY,Isocortex,MB,MY,OLF,P,PAL,STR,TH,V3,V4,VL,brain-unassigned,cbf,cm,eps,fiber tracts-unassigned,lfbs,mfbs,scwm,unassigned
0001 CLA-EPd-CTX Car3 Glut_1,0.0,0.0,0.09947140797693417,0.006407176037161621,0.0,0.8024187089540286,0.0,0.0,0.041886913342944095,0.0,0.0,0.0005606279032516418,0.0,0.0,0.0,0.0002402691013935608,0.0,0.0,8.008970046452026e-05,0.0,0.0,0.031154893480698383,0.0009610764055742432,0.016818837097549257,0.0
0002 CLA-EPd-CTX Car3 Glut_2,0.0,0.0,0.22141296431172613,0.004369992716678805,0.0,0.4850691915513474,0.0,0.0,0.22141296431172613,0.0,0.0,0.0021849963583394027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05462490895848507,0.0,0.010924981791697014,0.0
0003 IT EP-CLA Glut_1,0.0,0.0,0.2950662621746767,0.016765128532652083,0.0,0.5136516046623024,0.0,0.0,0.06753951780296982,0.0,0.0,0.009739741338016925,0.0,0.0,0.0,0.0006386715631486508,0.0001596678907871627,0.0,0.0,0.0,0.0,0.07552291234232796,0.0094204055564426,0.011336420245888552,0.0001596678907871627
0004 IT EP-CLA Glut_2,0.0,0.0,0.2961599158337717,0.1504471330878485,0.0,0.15781167806417676,0.0,0.0,0.28511309836927934,0.0,0.0,0.0005260389268805891,0.0,0.0,0.0,0.0015781167806417674,0.0,0.0,0.0005260389268805891,0.0,0.0,0.0920568122041031,0.015255128879537085,0.0,0.0005260389268805891
0005 IT EP-CLA Glut_3,0.0,0.0,0.529126213592233,0.0,0.0,0.02912621359223301,0.0,0.0,0.3859223300970874,0.0,0.0,0.03640776699029126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007281553398058253,0.012135922330097087,0.0,0.0
0006 IT EP-CLA Glut_4,0.0,0.0,0.14119359534206696,0.0,0.0,0.08951965065502183,0.0,0.0,0.7489082969432315,0.0,0.0,0.005822416302765648,0.0,0.0,0.0,0.0,0.0,0.0,0.008005822416302766,0.0,0.0,0.005094614264919942,0.0,0.001455604075691412,0.0
0007 L5/6 IT TPE-ENT Glut_1,0.0,0.0,0.12371134020618557,0.15201131999191428,0.0,0.6636345259753386,0.0,0.0,0.047099252071962805,0.0,0.00020214271275520516,0.004649282393369719,0.0,0.0,0.0,0.0,0.0,0.0,0.00020214271275520516,0.0,0.0,0.005659995957145745,0.002425712553062462,0.00020214271275520516,0.00020214271275520516
0008 L5/6 IT TPE-ENT Glut_2,0.0,0.0,0.004896959804121608,0.19669455213221793,0.0,0.7810650887573964,0.0,0.0,0.009589879616404815,0.0,0.0,0.0010201999591920017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004488879820444807,0.00040807998367680065,0.0010201999591920017,0.0008161599673536013
0009 L5/6 IT TPE-ENT Glut_3,0.0,0.0,0.021176470588235293,0.004705882352941176,0.0,0.9670588235294117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007058823529411765,0.0,0.0,0.0
0010 L5/6 IT TPE-ENT Glut_4,0.0,0.0,0.0006775067750677507,0.8414634146341463,0.0,0.14905149051490515,0.0,0.0,0.0040650406504065045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027100271002710027,0.0013550135501355014,0.0,0.0006775067750677507
0011 L5/6 IT TPE-ENT Glut_5,0.0,0.0,0.0,0.09068627450980392,0.0,0.9068627450980392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024509803921568627,0.0,0.0,0.0
0012 L5/6 IT TPE-ENT Glut_6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0013 L6 IT CTX Glut_1,0.0,0.0,0.01487964989059081,0.03785557986870897,0.0,0.9013129102844639,0.0,0.0,0.0019693654266958426,0.0,0.0,0.007221006564551422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022975929978118162,0.00262582056892779,0.010940919037199124,0.0002188183807439825
0014 L6 IT CTX Glut_2,0.0,0.0,0.0011582179604589776,0.0018585357970155687,0.0,0.9647686257609223,0.0,0.0,0.0017507945913914776,0.0,0.0,0.006248989926197274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015326186500026935,0.000404029521090341,0.00848461994289716,0.0
0015 L6 IT CTX Glut_3,0.0,0.0,0.0023131239347455564,0.001582663744825907,0.0,0.9880691502313124,0.0,0.0,0.0018261504747991235,0.0,0.0,0.0012174336498660824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024348672997321647,0.0,0.002556610664718773,0.0
0016 L6 IT CTX Glut_4,0.0,0.0,0.0021159542953872196,0.018620397799407534,0.0,0.9699534490055015,0.0,0.0,0.0008463817181548879,0.0,0.0,0.00042319085907744394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021159542953872196,0.0,0.005924672027084215,0.0
0017 L6 IT CTX Glut_5,0.0,0.0,0.0006243496357960458,0.004162330905306972,0.0,0.991675338189386,0.0,0.0,0.0,0.0,0.0,0.0014568158168574402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001040582726326743,0.0004162330905306972,0.0004162330905306972,0.0002081165452653486
0018 L5 IT CTX Glut_1,0.0,0.0,0.0011795930404010617,0.0041285756414037155,0.0,0.9884989678560896,0.0,0.0,0.0005897965202005308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038336773813034504,0.0,0.0017693895606015924,0.0
0019 L5 IT CTX Glut_2,0.0,0.0,0.0,0.008596268438018952,0.0,0.9890592947152486,0.0,0.0,9.768486861385171e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022467519781185896,0.0,0.0,0.0
0020 L5 IT CTX Glut_3,0.0,0.0,0.0,0.0016963528413910093,0.0,0.9978324380360004,0.0,0.0,9.424182452172274e-05,0.0,0.0,9.424182452172274e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.424182452172274e-05,9.424182452172274e-05,9.424182452172274e-05,0.0
0021 L5 IT CTX Glut_4,0.0,0.0,0.0,0.0034928396786587496,0.0,0.9965071603213412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0022 L5 IT CTX Glut_5,0.0,0.0,0.006711409395973154,0.0,0.0,0.9932885906040269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0023 L4/5 IT CTX Glut_1,0.0,0.0,3.867275117951891e-05,0.003944620620310929,0.0,0.9952819243560987,0.0,0.0,0.0003867275117951891,0.0,0.0,3.867275117951891e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002707092582566324,0.0,0.0,3.867275117951891e-05
0024 L4/5 IT CTX Glut_2,0.0,0.0,0.0,1.3704825469047652e-05,0.0,0.9986706319295023,0.0,0.0,0.0011237956884619074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015075308015952417,0.0,0.0,0.0,1.3704825469047652e-05,0.0,2.7409650938095304e-05
0025 L4/5 IT CTX Glut_3,0.0,0.0,8.35421888053467e-05,0.004594820384294068,0.0,0.9934001670843776,0.0,0.0,0.0018379281537176273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.35421888053467e-05,0.0,0.0,0.0
0026 L4/5 IT CTX Glut_4,0.0,0.0,0.0005591668414063046,0.00020968756552736424,0.0,0.9975536450688475,0.0,0.0,0.0007688544069336689,0.0,0.0,0.0006989585517578808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.989585517578807e-05,6.989585517578807e-05,0.0,6.989585517578807e-05
0027 L4/5 IT CTX Glut_5,0.0,0.0,0.0,0.0004551957341656912,0.0,0.9982442450253609,0.0,0.0,0.0003251398101183509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006502796202367018,0.00026011184809468074,0.0,6.502796202367018e-05
