class,AAA,ACAd,ACAv,ACB,ACVII,AD,ADP,AHN,AId,AIp,AIv,AM,AMB,AN,AOB,AON,AP,APN,APr,AQ,ARH,ASO,AT,AUDd,AUDp,AUDpo,AUDv,AV,AVP,AVPV,Acs5,B,BA,BLA,BMA,BST,CA1,CA2,CA3,CB-unassigned,CEA,CENT,CL,CLA,CLI,CM,COAa,COAp,COPY,CP,CS,CTXsp-unassigned,CU,CUL,CUN,DCO,DEC,DG,DMH,DMX,DN,DP,DR,DT,DTN,ECT,ECU,ENTl,ENTm,EPd,EPv,EW,Eth,FC,FL,FN,FOTU,FRP,FS,GPe,GPi,GRN,GU,HATA,HPF-unassigned,HY-unassigned,I5,IA,IAD,IAM,IC,ICB,IF,IG,IGL,III,IIIn,IIn,ILA,IMD,IO,IP,IPN,IRN,ISN,IV,IVn,In,IntG,LA,LAV,LC,LD,LDT,LGd,LGv,LH,LHA,LIN,LING,LM,LP,LPO,LRN,LSc,LSr,LSv,LT,MA,MA3,MARN,MB-unassigned,MD,MDRN,ME,MEA,MEPO,MG,MH,MM,MOB,MOp,MOs,MPN,MPO,MPT,MRN,MS,MT,MV,MY-unassigned,NB,NDB,NI,NLL,NLOT,NOD,NOT,NPC,NR,NTB,NTS,OLF-unassigned,OP,ORBl,ORBm,ORBvl,OT,OV,P-unassigned,P5,PA,PAA,PAG,PAL-unassigned,PAR,PARN,PAS,PB,PBG,PC5,PCG,PCN,PD,PDTg,PERI,PF,PFL,PG,PGRNd,PGRNl,PH,PIL,PIR,PL,PMd,PMv,PN,PO,POL,POST,PP,PPN,PPT,PPY,PR,PRE,PRM,PRNc,PRNr,PRP,PS,PST,PSTN,PSV,PT,PVH,PVHd,PVT,PVa,PVi,PVp,PVpo,PYR,Pa4,Pa5,PeF,PoT,ProS,RCH,RE,RH,RL,RM,RN,RO,RPA,RPF,RPO,RR,RSPagl,RSPd,RSPv,RT,SAG,SBPV,SCH,SCO,SCm,SCs,SEZ,SF,SFO,SG,SGN,SH,SI,SIM,SLC,SLD,SMT,SNc,SNr,SO,SOC,SPA,SPFm,SPFp,SPIV,SPVC,SPVI,SPVO,SSp-bfd,SSp-ll,SSp-m,SSp-n,SSp-tr,SSp-ul,SSp-un,SSs,STN,STR-unassigned,SUB,SUM,SUT,SUV,SubG,TEa,TH-unassigned,TMd,TMv,TR,TRN,TRS,TT,TU,UVU,V,V3-unassigned,V4-unassigned,V4r,VAL,VCO,VI,VII,VIIIn,VIIn,VISC,VISa,VISal,VISam,VISl,VISli,VISp,VISpl,VISpm,VISpor,VISrl,VL-unassigned,VLPO,VM,VMH,VMPO,VPL,VPLpc,VPM,VPMpc,VTA,VTN,VeCB,Vn,XII,Xi,Xn,ZI,arb,brain-unassigned,cbc,cbp,cc,chpl,cst,drt,epsc,fiber tracts-unassigned,lfbst,mfbc,mfsbshy,rust,scwm-unassigned,tsp,unassigned,x,y
01 IT-ET Glut,156,10254,12796,42,0,0,0,0,10321,5150,4316,0,0,0,86,18328,0,0,2349,0,0,0,0,3953,7667,2190,6356,0,0,0,0,0,0,6165,3279,53,25841,1213,13905,0,136,0,0,2798,0,0,283,7256,0,921,0,822,0,0,0,0,0,2445,0,0,0,1253,0,0,0,4542,0,15241,14942,1474,1601,0,0,206,0,0,0,914,2,0,0,0,5235,827,165,8,0,108,0,0,0,0,0,83,0,0,0,5,2708,0,0,0,0,0,0,0,0,410,0,3115,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3153,0,0,0,0,4098,36197,38910,1,1,0,0,0,0,0,0,0,0,0,0,365,0,0,0,0,0,0,4031,0,10224,4797,7779,1,0,0,0,3951,2206,1,17,4150,0,0,0,0,0,0,0,0,0,1503,0,0,0,0,0,0,0,39705,7184,0,0,0,0,0,4934,0,0,0,0,0,3878,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3390,0,0,0,0,0,0,0,0,0,0,0,9778,13046,19164,0,0,0,0,0,0,0,1,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27907,9312,26677,11451,4160,14133,4331,30804,0,389,2786,0,0,0,0,11870,1,0,0,2672,0,0,4332,0,0,0,4,0,0,0,0,0,0,24,0,5642,6919,1971,4191,5591,2466,34168,3045,3508,3730,4009,398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,479,0,0,2975,130,1,0,0,141,0,1687,0,0,730,0,325,0,0
02 NP-CT-L6b Glut,0,4687,5101,9,0,0,0,0,2878,690,791,0,0,0,0,405,0,0,89,0,0,0,0,1127,1845,581,1779,0,0,0,0,0,0,25,9,0,878,0,21,0,0,0,0,716,0,0,2,27,0,548,0,140,0,0,0,0,0,27,0,0,0,624,0,0,0,1505,0,5198,4362,1788,76,0,0,6,0,0,0,640,0,0,0,0,1662,22,585,0,0,0,0,0,0,0,0,1,0,0,0,0,1450,0,0,0,0,0,0,0,0,78,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,12741,11857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1406,0,2874,2169,1719,0,0,0,0,290,1,0,0,32,0,0,0,0,0,0,0,0,0,171,0,0,0,0,0,0,0,102,3792,0,0,0,0,0,1365,0,0,0,0,0,692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1333,0,0,0,0,0,0,0,0,0,0,0,2283,3065,4359,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7768,3218,8258,3548,906,4425,1430,9408,0,221,4365,0,0,0,0,3137,0,0,0,371,0,0,502,0,0,0,0,0,0,0,0,0,0,0,0,1602,1863,521,1377,1739,557,8821,278,832,1114,764,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,3625,0,0,0,0,0,0,1755,0,0,4109,0,11,0,0
03 OB-CR Glut,1,9,9,1,0,0,0,0,0,5,0,0,0,0,203,38,0,1,2,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,177,33,175,0,0,0,0,0,0,0,22,59,0,1,0,0,0,0,0,0,0,735,0,0,0,0,0,0,0,7,0,37,122,0,0,0,0,5,0,0,0,0,0,0,0,0,1,69,23,1,0,0,0,0,0,0,0,4,0,0,0,17,1,0,0,0,0,0,0,0,0,1352,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,44,0,0,2,0,5046,3,3,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,1018,0,0,15,17,9,0,0,0,12,7,0,4,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,3,0,0,0,0,0,5,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,0,0,0,0,0,0,0,0,0,4,8,12,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,1,1,0,1,0,5,8,0,0,0,0,9,0,0,0,16,0,0,15,0,0,0,5,0,0,0,0,0,0,3,0,0,1,0,0,1,0,3,4,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,1,3,0,0,0,3,0,2,3,0,0,0,105,0,0
04 DG-IMN Glut,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,181,192,10024,0,0,0,0,3,0,0,0,2,0,18,0,10,0,0,0,0,0,24499,0,0,0,0,0,0,0,0,0,0,0,18,19,0,0,6,0,0,0,0,0,0,0,0,0,16,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,157,0,0,0,0,45,0,175,0,0,5,0,0,0,0
05 OB-IMN GABA,7,11,16,150,0,0,0,0,3,3,12,0,0,0,283,1346,0,0,0,0,0,0,0,1,10,1,5,0,0,0,0,0,0,4,3,0,75,0,31,0,4,0,0,2,0,0,2,0,0,676,0,14,0,0,0,0,0,37,0,0,0,40,0,0,0,2,0,5,0,16,18,0,0,0,0,0,0,0,0,3,0,0,2,0,4,1,0,0,0,0,0,0,0,2,0,0,0,0,8,0,0,0,0,0,0,0,0,6123,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,173,197,0,2,0,0,0,0,0,0,1,0,0,0,0,52072,19,20,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,8737,0,6,109,61,12,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,198,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,436,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,1,0,0,7,2,6,0,295,48,0,0,0,0,14,1,0,0,0,0,0,195,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,4,0,0,0,0,2408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,3864,28,9,0,0,9,29,383,0,0,167,0,353,0,0
06 CTX-CGE GABA,80,665,723,34,0,0,0,0,681,380,241,2,0,0,16,651,0,0,115,0,0,0,0,224,423,146,427,0,1,0,0,0,2,595,378,19,1782,141,1172,0,47,0,0,90,0,0,176,707,0,193,0,89,0,0,0,0,0,616,0,0,0,121,0,0,0,435,0,1373,948,67,150,0,0,16,0,0,0,45,5,8,0,0,370,172,28,5,0,13,0,0,0,0,0,40,0,0,0,19,173,0,0,0,0,0,0,0,0,129,0,158,0,0,1,0,0,0,0,5,0,0,0,0,3,0,2,10,2,0,11,0,0,1,1,0,0,372,0,1,0,0,98,2588,3175,1,2,0,0,1,0,0,0,0,11,0,0,42,0,0,0,0,0,0,334,0,464,264,386,59,0,0,0,310,265,0,21,375,0,0,0,0,0,0,0,0,0,144,0,0,0,0,0,0,0,1849,460,0,0,0,1,0,203,0,0,0,0,0,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208,1,0,0,0,0,0,0,0,0,0,0,521,725,888,4,0,0,0,0,1,2,0,1,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1380,463,1288,533,258,828,237,2008,0,86,245,0,0,0,0,914,1,0,0,346,0,1,281,1,0,0,2,0,0,0,0,0,0,5,0,523,379,111,256,301,128,1363,171,151,280,188,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,60,0,0,419,10,13,0,0,18,0,303,2,0,158,0,317,0,0
07 CTX-MGE GABA,37,1484,1647,16,0,0,0,0,1300,599,468,0,0,0,3,1206,0,0,244,0,0,0,0,499,975,274,936,0,0,0,0,0,0,820,686,10,2830,123,2136,0,41,0,0,344,0,0,62,636,0,79,0,160,0,0,0,0,0,858,0,0,0,269,0,0,0,751,0,3223,3050,439,402,0,0,19,0,0,0,239,1,0,0,0,720,138,106,2,0,33,0,0,0,0,0,4,0,0,0,5,494,0,0,0,0,0,0,0,0,109,0,206,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,16,4,0,6,0,0,0,0,0,0,400,0,1,0,0,81,4996,5671,0,1,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,763,0,1497,693,970,12,0,0,0,778,139,0,4,566,0,0,0,0,0,0,0,0,0,213,0,0,0,0,0,0,0,2220,1180,0,0,0,0,0,625,0,0,0,0,0,465,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,798,0,1,0,0,0,0,0,0,0,0,0,1099,1447,1908,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3152,1179,3313,1311,501,1804,552,4269,0,73,898,0,0,0,0,1612,0,0,0,460,0,0,285,0,0,0,3,0,0,0,0,0,0,0,0,890,853,230,525,739,327,3597,357,380,468,440,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,0,973,55,1,0,0,34,0,816,2,0,334,0,23,0,0
08 CNU-MGE GABA,685,24,24,1587,0,0,9,4,28,33,16,0,0,0,0,81,0,0,3,0,0,0,0,5,5,1,12,0,4,5,0,0,0,168,75,338,26,0,1,0,437,0,0,16,0,0,10,12,0,5362,0,57,0,0,0,0,0,1,0,0,0,12,0,0,0,15,0,43,11,24,64,0,0,0,0,0,0,2,80,1493,24,0,20,0,3,356,0,25,0,0,0,0,0,0,0,0,0,5,6,0,0,0,0,0,0,0,0,78,0,77,0,0,0,0,0,0,0,126,0,0,0,0,291,0,0,119,129,0,789,0,0,2,1,0,0,188,0,0,0,0,10,117,85,1,137,0,0,1703,0,0,0,0,2199,0,0,7,0,0,0,0,0,0,340,0,14,11,9,457,0,1,0,8,4,1,501,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,8,0,247,22,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,13,10,2,0,0,0,0,0,1,6,24,0,0,0,0,2911,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,38,17,50,16,9,28,12,73,0,1132,14,0,0,0,0,29,1,0,0,11,0,5,16,1,0,0,2,0,0,0,0,0,0,0,0,17,8,4,2,5,1,28,6,4,8,4,48,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0,198,0,409,0,1,11,8,168,11,0,44,0,8,0,0
09 CNU-LGE GABA,185,0,2,34277,0,0,5,0,9,78,5,0,0,0,0,1526,0,0,0,0,0,0,0,1,2,0,6,0,2,2,0,0,0,536,354,548,3,0,1,0,1179,0,0,13,0,0,23,7,0,164508,0,452,0,0,0,0,0,2,0,0,0,4,0,0,0,11,0,6,0,9,441,0,0,0,0,0,0,0,365,1672,5,0,4,1,0,116,0,488,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,413,0,1136,0,0,0,0,0,0,0,19,0,0,0,0,8,0,0,265,483,0,45,0,0,0,0,0,0,263,0,0,1,0,122,10,11,1,2,0,0,5,0,0,0,0,10,0,0,7,0,0,0,0,0,0,1758,0,6,5,4,25142,0,0,0,2,52,0,416,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1479,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,109,1,0,0,0,0,4196,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,3,3,0,3,1,13,0,4930,1,0,0,0,0,14,1,0,0,3,0,0,156,1,0,0,1,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,1116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,67,0,0,2806,1,1698,0,0,58,179,576,2,0,16,0,403,0,0
10 LSX GABA,0,0,2,24,0,0,6,1,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,46,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1793,10024,3138,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,4,0,0,39,0,0,0,0,2,0,0,0,0,0,0,0,0,0,39,0,0,1,0,2,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,812,1,0,0,232,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,556,0,0,0,0,0,0,1,0,0,0,0,234,52,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,0,0,151,0,0,0,0,4,0,860,15,0,0,0,1,0,0
