supertype,AQ,CB,CTXsp,HPF,HY,Isocortex,MB,MY,OLF,P,PAL,STR,TH,V3,V4,VL,brain-unassigned,cbf,cm,eps,fiber tracts-unassigned,lfbs,mfbs,scwm,unassigned
0001 CLA-EPd-CTX Car3 Glut_1,0,0,1242,80,0,10019,0,0,523,0,0,7,0,0,0,3,0,0,1,0,0,389,12,210,0
0002 CLA-EPd-CTX Car3 Glut_2,0,0,304,6,0,666,0,0,304,0,0,3,0,0,0,0,0,0,0,0,0,75,0,15,0
0003 IT EP-CLA Glut_1,0,0,1848,105,0,3217,0,0,423,0,0,61,0,0,0,4,1,0,0,0,0,473,59,71,1
0004 IT EP-CLA Glut_2,0,0,563,286,0,300,0,0,542,0,0,1,0,0,0,3,0,0,1,0,0,175,29,0,1
0005 IT EP-CLA Glut_3,0,0,218,0,0,12,0,0,159,0,0,15,0,0,0,0,0,0,0,0,0,3,5,0,0
0006 IT EP-CLA Glut_4,0,0,194,0,0,123,0,0,1029,0,0,8,0,0,0,0,0,0,11,0,0,7,0,2,0
0007 L5/6 IT TPE-ENT Glut_1,0,0,612,752,0,3283,0,0,233,0,1,23,0,0,0,0,0,0,1,0,0,28,12,1,1
0008 L5/6 IT TPE-ENT Glut_2,0,0,24,964,0,3828,0,0,47,0,0,5,0,0,0,0,0,0,0,0,0,22,2,5,4
0009 L5/6 IT TPE-ENT Glut_3,0,0,9,2,0,411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
0010 L5/6 IT TPE-ENT Glut_4,0,0,1,1242,0,220,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,1
0011 L5/6 IT TPE-ENT Glut_5,0,0,0,37,0,370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0012 L5/6 IT TPE-ENT Glut_6,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0013 L6 IT CTX Glut_1,0,0,68,173,0,4119,0,0,9,0,0,33,0,0,0,0,0,0,0,0,0,105,12,50,1
0014 L6 IT CTX Glut_2,0,0,43,69,0,35818,0,0,65,0,0,232,0,0,0,0,0,0,0,0,0,569,15,315,0
0015 L6 IT CTX Glut_3,0,0,19,13,0,8116,0,0,15,0,0,10,0,0,0,0,0,0,0,0,0,20,0,21,0
0016 L6 IT CTX Glut_4,0,0,5,44,0,2292,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,5,0,14,0
0017 L6 IT CTX Glut_5,0,0,3,20,0,4765,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,5,2,2,1
0018 L5 IT CTX Glut_1,0,0,4,14,0,3352,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,13,0,6,0
0019 L5 IT CTX Glut_2,0,0,0,88,0,10125,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0
0020 L5 IT CTX Glut_3,0,0,0,18,0,10588,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0
0021 L5 IT CTX Glut_4,0,0,0,20,0,5706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0022 L5 IT CTX Glut_5,0,0,2,0,0,296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0023 L4/5 IT CTX Glut_1,0,0,1,102,0,25736,0,0,10,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,1
0024 L4/5 IT CTX Glut_2,0,0,0,1,0,72870,0,0,82,0,0,0,0,0,0,0,0,0,11,0,0,0,1,0,2
0025 L4/5 IT CTX Glut_3,0,0,1,55,0,11891,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0026 L4/5 IT CTX Glut_4,0,0,8,3,0,14272,0,0,11,0,0,10,0,0,0,0,0,0,0,0,0,1,1,0,1
0027 L4/5 IT CTX Glut_5,0,0,0,7,0,15351,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,10,4,0,1
0028 L4/5 IT CTX Glut_6,0,0,0,348,0,14710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
0029 L2/3 IT CTX Glut_1,0,0,0,10,0,8193,0,0,49,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,4
0030 L2/3 IT CTX Glut_2,0,0,0,17,0,79310,0,0,435,0,0,2,0,0,0,1,0,0,35,0,0,26,10,12,35
0031 L2/3 IT CTX Glut_3,0,0,11,58,0,9592,0,0,110,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,8
0032 L2/3 IT CTX Glut_4,0,0,34,150,0,23097,0,0,516,0,0,0,0,0,0,0,0,0,8,0,0,2,2,4,47
0033 L2/3 IT ENT Glut_1,0,0,34,1011,0,90,0,0,261,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0034 L2/3 IT ENT Glut_2,0,0,1,737,0,39,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0035 L2/3 IT ENT Glut_3,0,0,1,1310,0,312,0,0,221,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0036 L2/3 IT ENT Glut_4,0,0,0,10024,0,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
0037 L2/3 IT ENT Glut_5,0,0,0,2224,0,220,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0038 L2/3 IT ENT Glut_6,0,0,5,550,0,34,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0039 L2/3 IT PIR-ENTl Glut_1,0,0,518,468,0,464,0,0,7455,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1
0040 L2/3 IT PIR-ENTl Glut_2,0,0,63,15,0,356,0,0,12560,0,0,7,0,0,0,0,0,0,1,0,0,6,0,0,5
0041 L2/3 IT PIR-ENTl Glut_3,0,0,70,227,0,1285,0,0,11465,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,2
0042 L2/3 IT PIR-ENTl Glut_4,0,0,66,2709,0,948,0,0,8476,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,20
0043 L2/3 IT PIR-ENTl Glut_5,0,0,58,260,0,100,0,0,466,0,0,2,0,0,0,0,0,0,1,0,0,5,0,0,1
0044 L2/3 IT PIR-ENTl Glut_6,0,0,261,772,0,34,0,0,2571,0,0,1,0,0,0,0,0,0,0,0,0,6,3,0,0
0045 L2/3 IT PIR-ENTl Glut_7,0,0,634,0,0,12,0,0,357,0,0,443,0,0,0,0,0,0,14,0,0,118,17,0,0
0046 IT AON-TT-DP Glut_1,0,0,47,22,0,385,0,0,5314,0,0,85,0,0,0,0,0,0,1,0,0,49,2,0,0
0047 IT AON-TT-DP Glut_2,0,0,0,0,0,0,0,0,3799,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0
0048 IT AON-TT-DP Glut_3,0,0,0,0,0,5,0,0,3665,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0
0049 IT AON-TT-DP Glut_4,0,0,22,0,0,6,0,0,2124,0,0,61,0,0,0,0,0,0,23,0,0,0,0,0,0
0050 IT AON-TT-DP Glut_5,0,0,0,0,0,65,0,0,11093,0,0,1,0,0,0,0,0,0,262,0,0,0,0,0,0
0051 L2 IT ENT-po Glut_1,0,0,0,1763,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0052 L2 IT ENT-po Glut_2,0,0,0,857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0053 L2 IT ENT-po Glut_3,0,0,0,628,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0054 L2 IT ENT-po Glut_4,0,0,0,1489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
0055 MEA Slc17a7 Glut_1,0,0,714,7,0,0,0,0,385,0,0,2079,0,0,0,0,1,0,2,0,37,0,23,0,1
0056 MEA Slc17a7 Glut_2,0,0,433,1,17,1,0,0,403,0,73,410,1,0,0,0,2,0,0,0,0,5,7,0,0
0057 MEA Slc17a7 Glut_3,0,0,190,1,0,0,0,0,645,0,0,567,0,0,0,0,1,0,1,0,10,0,0,0,9
0058 COAp Grxcr2 Glut_1,0,0,1272,22,0,12,0,0,1269,0,0,8,0,0,0,0,0,0,0,0,0,2,6,0,0
0059 COAp Grxcr2 Glut_2,0,0,443,10,0,1,0,0,4443,0,0,104,0,0,0,0,4,0,0,0,2,8,6,0,0
0060 LA-BLA-BMA-PA Glut_1,0,0,1869,197,0,0,0,0,457,0,0,79,0,0,0,0,26,0,0,0,0,0,16,0,0
0061 LA-BLA-BMA-PA Glut_2,0,0,2969,59,0,1,0,0,479,0,0,1,0,0,0,7,45,0,0,0,0,15,21,0,0
0062 LA-BLA-BMA-PA Glut_3,0,0,2352,0,0,22,0,0,11,0,1,249,0,0,0,0,0,0,0,0,0,70,44,0,0
0063 LA-BLA-BMA-PA Glut_4,0,0,1312,39,0,3,0,0,88,0,2,25,0,0,0,0,2,0,0,0,1,5,10,0,0
0064 LA-BLA-BMA-PA Glut_5,0,0,1688,8,0,0,0,0,4,0,1,124,0,0,0,5,5,0,0,0,0,24,17,0,3
0065 LA-BLA-BMA-PA Glut_6,0,0,793,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,5,18,0,0
0066 ENTmv-PA-COAp Glut_1,0,0,452,739,0,0,0,0,463,0,0,0,0,0,0,0,22,0,0,0,0,1,34,0,0
0067 ENTmv-PA-COAp Glut_2,0,0,23,573,0,2,0,0,78,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0068 ENTmv-PA-COAp Glut_3,0,0,10,251,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
0069 CA1-ProS Glut_1,0,0,70,12922,0,0,0,0,2,0,0,0,0,0,0,7,36,0,0,0,6,84,118,0,0
0070 CA1-ProS Glut_2,0,0,13,4178,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,30,0,0
0071 CA1-ProS Glut_3,0,0,44,1248,0,0,0,0,1,0,0,1,0,0,0,0,18,0,0,0,0,11,23,0,0
0072 CA1-ProS Glut_4,0,0,44,3813,0,1,0,0,2,0,0,0,0,0,0,0,10,0,0,0,0,0,22,0,0
0073 CA1-ProS Glut_5,0,0,516,937,0,1,0,0,6,0,0,0,0,0,0,8,66,0,0,0,15,2,114,0,0
