subclass,AQ,CB,CTXsp,HPF,HY,Isocortex,MB,MY,OLF,P,PAL,STR,TH,V3,V4,VL,brain-unassigned,cbf,cm,eps,fiber tracts-unassigned,lfbs,mfbs,scwm
001 CLA-EPd-CTX Car3 Glut,0,0,2454,107,0,14598,0,0,1195,0,0,100,0,0,0,1,0,0,3,0,0,337,15,185
002 IT EP-CLA Glut,0,0,4245,689,0,1181,0,0,1390,0,0,89,0,0,0,5,6,0,5,0,0,282,165,6
003 L5/6 IT TPE-ENT Glut,0,0,18,1803,0,783,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0
004 L6 IT CTX Glut,0,0,216,79,0,28050,0,0,29,0,0,61,0,0,0,0,0,0,0,0,0,294,60,500
005 L5 IT CTX Glut,0,0,3,23,0,26918,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,7,1,1
006 L4/5 IT CTX Glut,0,0,36,147,0,118883,3,0,52,0,0,8,0,0,0,0,0,0,1,0,0,24,0,1
007 L2/3 IT CTX Glut,0,0,21,173,0,181659,28,0,307,0,0,2,0,0,0,0,0,1,0,0,0,31,12,16
008 L2/3 IT ENT Glut,0,0,75,13612,0,115,0,0,364,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
009 L2/3 IT PIR-ENTl Glut,0,0,1111,3565,0,245,0,1,34655,0,2,767,1,0,0,1,0,0,12,0,0,174,40,0
010 IT AON-TT-DP Glut,0,0,39,5,1,199,0,0,26606,0,0,131,0,0,0,0,0,0,1417,0,0,20,0,0
011 L2 IT ENT-po Glut,0,0,0,3776,0,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
012 MEA Slc17a7 Glut,0,1,1020,42,28,8,0,2,484,0,39,2191,0,0,0,15,28,0,13,0,47,1,52,0
013 COAp Grxcr2 Glut,0,0,337,30,0,4,0,0,4847,0,0,88,0,0,0,0,0,0,1,0,0,0,0,0
014 LA-BLA-BMA-PA Glut,0,0,10527,116,0,3,0,0,583,0,0,1971,0,0,0,60,34,0,1,0,35,169,259,0
015 ENTmv-PA-COAp Glut,0,0,363,738,0,0,0,0,209,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
016 CA1-ProS Glut,0,0,33,38629,0,3,0,0,3,0,0,3,0,4,0,6,25,0,0,0,0,12,71,0
017 CA3 Glut,0,0,185,17585,0,0,36,0,0,0,0,54,19,0,0,2,52,0,3,0,34,101,135,0
018 L2 IT PPP-APr Glut,0,0,1,2600,0,205,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
019 L2/3 IT PPP Glut,0,0,1,18079,0,816,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1
020 L2/3 IT RSP Glut,0,0,9,878,0,29993,159,0,1,0,0,0,0,0,0,0,2,0,0,0,0,149,5,0
021 L4 RSP-ACA Glut,0,0,0,47,0,4304,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0
022 L5 ET CTX Glut,0,0,0,172,0,28878,0,0,364,0,0,0,0,0,0,0,1,0,0,0,0,28,2,1
023 SUB-ProS Glut,0,0,117,8385,0,51,1,0,1,0,0,0,0,0,0,0,11,0,0,0,0,48,177,0
024 L5 PPP Glut,0,0,0,599,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1
025 CA2-FC-IG Glut,0,0,0,2580,0,223,0,0,177,0,0,37,0,12,0,15,66,0,0,0,0,285,163,0
026 NLOT Rho Glut,0,0,32,0,0,0,0,0,736,0,0,358,0,0,0,0,0,0,0,0,0,0,6,0
027 L6b EPd Glut,0,0,1242,23,0,51,0,0,87,0,0,65,0,0,0,0,0,0,1,0,0,92,72,0
028 L6b/CT ENT Glut,0,0,213,11867,0,279,0,0,75,0,0,2,0,0,0,2,7,0,0,0,0,360,189,6
029 L6b CTX Glut,0,0,79,107,0,2152,0,0,66,0,0,105,0,0,0,4,0,0,1,0,0,2102,1028,2787
030 L6 CT CTX Glut,0,0,513,243,0,89988,1,0,840,1,0,173,0,0,0,5,2,0,0,0,0,810,1581,1797
031 CT SUB Glut,0,81,21,2695,11,250,51,168,109,38,10,20,50,6,13,30,65,17,102,3,15,60,94,4
032 L5 NP CTX Glut,0,0,8,130,0,16702,0,0,330,1,0,4,1,0,0,0,0,0,0,0,0,31,17,3
033 NP SUB Glut,0,0,14,3757,0,98,0,0,2,0,0,0,0,0,0,0,9,0,0,0,0,84,317,0
034 NP PPP Glut,0,0,0,1019,0,25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1
035 OB Eomes Ms4a15 Glut,0,0,3,7,0,173,0,0,26569,0,1,13,1,0,0,1,0,0,692,0,1,0,1,0
036 HPF CR Glut,0,2,35,2729,8,190,5,0,230,0,6,83,19,10,1,4,126,0,14,0,8,1,3,0
037 DG Glut,0,2,105,56534,28,22,3,0,16,1,1,168,15,57,0,2,114,2,9,0,103,113,61,1
038 DG-PIR Ex IMN,0,0,163,2133,0,13,0,0,729,0,0,29,0,0,0,30,2,0,0,0,3,138,21,2
039 OB Meis2 Thsd7b Gaba,0,0,5,0,0,240,0,0,21592,0,1,31,0,0,0,0,0,0,746,0,0,3,0,0
040 OB Trdn Gaba,0,0,1,0,0,4,1,0,24847,0,0,3,0,0,0,0,0,0,270,0,0,0,0,0
041 OB-in Frmd7 Gaba,0,0,6,2,0,131,0,0,123512,0,2,68,0,0,0,1,0,0,2946,0,0,9,0,0
042 OB-out Frmd7 Gaba,0,0,8,1,0,248,0,1,41380,0,3,60,0,0,0,2,1,0,2809,0,0,20,12,2
043 OB-mi Frmd7 Gaba,0,0,0,0,0,30,0,0,4543,0,0,7,0,0,0,0,0,0,69,0,0,0,0,0
044 OB Dopa-Gaba,0,0,7,0,0,116,0,0,16133,0,8,33,0,0,0,0,0,1,744,0,0,13,0,0
045 OB-STR-CTX Inh IMN,1,1,70,215,1,51,0,0,14174,0,14,3772,0,0,0,2348,18,0,1304,1,2,3326,238,22
046 Vip Gaba,0,0,645,1821,7,12315,6,1,965,2,24,192,1,2,0,9,8,0,5,0,5,101,81,25
047 Sncg Gaba,0,0,310,1163,0,3104,1,0,650,0,2,67,1,0,0,3,5,0,17,0,2,147,136,63
048 RHP-COA Ndnf Gaba,0,0,77,1400,1,24,0,0,236,0,4,53,0,1,0,3,9,0,6,0,4,29,46,0
049 Lamp5 Gaba,0,0,416,1640,7,12618,15,0,1773,0,48,346,11,0,0,2,29,0,80,0,6,137,64,78
050 Lamp5 Lhx6 Gaba,0,0,357,2896,3,511,5,0,213,0,7,105,3,4,0,10,38,0,2,0,6,180,143,63
051 Pvalb chandelier Gaba,0,0,328,730,0,1067,1,0,663,0,0,113,0,0,0,4,0,0,1,0,1,27,14,12
052 Pvalb Gaba,0,0,1000,4802,3,31534,1,1,2699,0,5,157,0,0,0,9,20,0,44,0,3,252,204,119
053 Sst Gaba,0,0,1498,4647,4,19519,8,0,1402,0,25,234,5,0,0,11,34,0,26,0,15,317,315,104
054 STR Prox1 Lhx6 Gaba,0,0,97,2,5,12,0,0,33,0,93,2523,1,0,0,10,1,0,1,0,6,16,9,0
