supertype,AQ,CB,CTXsp,HPF,HY,Isocortex,MB,MY,OLF,P,PAL,STR,TH,V3,V4,VL,brain-unassigned,cbf,cm,eps,fiber tracts-unassigned,lfbs,mfbs,scwm
0001 CLA-EPd-CTX Car3 Glut_1,0,0,2178,104,0,14516,0,0,1063,0,0,97,0,0,0,1,0,0,3,0,0,312,14,185
0002 CLA-EPd-CTX Car3 Glut_2,0,0,276,3,0,82,0,0,132,0,0,3,0,0,0,0,0,0,0,0,0,25,1,0
0003 IT EP-CLA Glut_1,0,0,3376,406,0,1110,0,0,750,0,0,84,0,0,0,5,2,0,2,0,0,262,145,6
0004 IT EP-CLA Glut_2,0,0,468,282,0,48,0,0,195,0,0,2,0,0,0,0,4,0,0,0,0,16,19,0
0005 IT EP-CLA Glut_3,0,0,305,1,0,4,0,0,194,0,0,1,0,0,0,0,0,0,0,0,0,4,1,0
0006 IT EP-CLA Glut_4,0,0,96,0,0,19,0,0,251,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0
0007 L5/6 IT TPE-ENT Glut_1,0,0,6,247,0,47,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0008 L5/6 IT TPE-ENT Glut_2,0,0,9,287,0,676,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
0009 L5/6 IT TPE-ENT Glut_3,0,0,1,11,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
0010 L5/6 IT TPE-ENT Glut_4,0,0,2,1253,0,30,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
0011 L5/6 IT TPE-ENT Glut_5,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0013 L6 IT CTX Glut_1,0,0,114,54,0,4619,0,0,9,0,0,21,0,0,0,0,0,0,0,0,0,83,27,115
0014 L6 IT CTX Glut_2,0,0,75,10,0,15802,0,0,15,0,0,37,0,0,0,0,0,0,0,0,0,198,28,319
0015 L6 IT CTX Glut_3,0,0,6,1,0,3597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,23
0016 L6 IT CTX Glut_4,0,0,12,12,0,1487,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,7,3,36
0017 L6 IT CTX Glut_5,0,0,9,2,0,2545,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,4,2,7
0018 L5 IT CTX Glut_1,0,0,3,0,0,5351,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0019 L5 IT CTX Glut_2,0,0,0,21,0,9111,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
0020 L5 IT CTX Glut_3,0,0,0,0,0,9864,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0021 L5 IT CTX Glut_4,0,0,0,2,0,2543,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0022 L5 IT CTX Glut_5,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0023 L4/5 IT CTX Glut_1,0,0,28,84,0,22413,0,0,36,0,0,1,0,0,0,0,0,0,0,0,0,18,0,0
0024 L4/5 IT CTX Glut_2,0,0,0,3,0,40884,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0025 L4/5 IT CTX Glut_3,0,0,2,17,0,1745,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
0026 L4/5 IT CTX Glut_4,0,0,3,4,0,10134,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0
