class,AQ,CB,CTXsp,HPF,HY,Isocortex,MB,MY,OLF,P,PAL,STR,TH,V3,V4,VL,brain-unassigned,cbf,cm,eps,fiber tracts-unassigned,lfbs,mfbs,scwm,unassigned
01 IT-ET Glut,0.0,0.0,0.04,0.15,0.0,0.67,0.0,0.0,0.13,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02 NP-CT-L6b Glut,0.0,0.0,0.02,0.11,0.0,0.79,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.02,0.0
03 OB-CR Glut,0.0,0.0,0.0,0.15,0.0,0.01,0.0,0.0,0.67,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.01
04 DG-IMN Glut,0.0,0.0,0.0,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05 OB-IMN GABA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.02,0.0,0.0,0.0,0.04,0.0,0.0,0.08,0.0,0.0,0.05,0.0,0.0,0.0
06 CTX-CGE GABA,0.0,0.0,0.04,0.18,0.0,0.61,0.0,0.0,0.11,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01
07 CTX-MGE GABA,0.0,0.0,0.04,0.19,0.0,0.66,0.0,0.0,0.07,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0
08 CNU-MGE GABA,0.0,0.0,0.02,0.0,0.04,0.03,0.0,0.0,0.03,0.0,0.41,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.0,0.0
09 CNU-LGE GABA,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.03,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0
10 LSX GABA,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.02,0.9,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.05,0.0,0.0
11 CNU-HYa GABA,0.0,0.0,0.02,0.0,0.22,0.0,0.0,0.0,0.06,0.0,0.27,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.02,0.0,0.0
12 HY GABA,0.0,0.0,0.0,0.0,0.71,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.02,0.01,0.0,0.0
13 CNU-HYa Glut,0.0,0.0,0.15,0.0,0.17,0.01,0.0,0.0,0.11,0.0,0.15,0.28,0.01,0.05,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.05,0.0,0.0
14 HY Glut,0.0,0.0,0.0,0.0,0.92,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.0
15 HY Gnrh1 Glut,0.0,0.0,0.0,0.02,0.47,0.0,0.0,0.0,0.02,0.0,0.4,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0
16 HY MM Glut,0.0,0.0,0.0,0.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17 MH-LH Glut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93,0.02,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0
18 TH Glut,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0
19 MB Glut,0.0,0.03,0.0,0.0,0.01,0.0,0.89,0.0,0.0,0.01,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01
20 MB GABA,0.0,0.01,0.0,0.01,0.02,0.01,0.83,0.0,0.0,0.03,0.01,0.0,0.02,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.02
21 MB Dopa,0.0,0.0,0.0,0.0,0.05,0.0,0.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.0,0.01,0.01,0.0,0.0
22 MB-HB Sero,0.02,0.0,0.0,0.0,0.0,0.0,0.41,0.15,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.05,0.01,0.0,0.01,0.0,0.0,0.0
23 P Glut,0.0,0.03,0.0,0.0,0.0,0.0,0.07,0.09,0.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.04,0.03,0.0,0.0,0.0,0.0,0.0,0.05
24 MY Glut,0.0,0.08,0.0,0.0,0.01,0.0,0.08,0.58,0.0,0.16,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.03,0.02,0.0,0.0,0.01,0.0,0.0,0.01
25 Pineal Glut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.57
26 P GABA,0.0,0.01,0.0,0.0,0.0,0.0,0.14,0.11,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.01,0.0,0.0,0.0,0.0,0.0
27 MY GABA,0.0,0.05,0.0,0.0,0.01,0.0,0.05,0.62,0.0,0.16,0.0,0.0,0.0,0.0,0.03,0.01,0.01,0.02,0.03,0.01,0.0,0.0,0.0,0.0,0.01
28 CB GABA,0.0,0.88,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.08
