cluster,AQ,CB,CTXsp,HPF,HY,Isocortex,MB,MY,OLF,P,PAL,STR,TH,V3,V4,VL,brain-unassigned,cbf,cm,eps,fiber tracts-unassigned,lfbs,mfbs,scwm,unassigned
0001 CLA-EPd-CTX Car3 Glut_1,0.0,0.0,0.23,0.0,0.0,0.47,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.02,0.0
0002 CLA-EPd-CTX Car3 Glut_1,0.0,0.0,0.2,0.06,0.0,0.59,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.02,0.0
0003 CLA-EPd-CTX Car3 Glut_1,0.0,0.0,0.11,0.0,0.0,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.01,0.0
0004 CLA-EPd-CTX Car3 Glut_1,0.0,0.0,0.02,0.0,0.0,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.02,0.0
0005 CLA-EPd-CTX Car3 Glut_2,0.0,0.0,0.22,0.0,0.0,0.49,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.01,0.0
0006 IT EP-CLA Glut_1,0.0,0.0,0.16,0.02,0.0,0.65,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.05,0.01,0.0
0007 IT EP-CLA Glut_1,0.0,0.0,0.49,0.05,0.0,0.33,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.02,0.0,0.0
0008 IT EP-CLA Glut_1,0.0,0.0,0.27,0.01,0.0,0.57,0.0,0.0,0.04,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.01,0.0
0009 IT EP-CLA Glut_1,0.0,0.0,0.44,0.0,0.0,0.19,0.0,0.0,0.32,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0
0010 IT EP-CLA Glut_1,0.0,0.0,0.33,0.02,0.0,0.4,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.01,0.0
