ID	Type	skos:exactMatch	score
ID	TYPE	AI skos:exactMatch	>AT n2o:Confidence^^xsd:float
WHB:CS202210140_315	owl:NamedIndividual	WMB:CS20230722_SUBC_313	0.97
WHB:CS202210140_309	owl:NamedIndividual	WMB:CS20230722_SUBC_315	0.96
WHB:CS202210140_212	owl:NamedIndividual	WMB:CS20230722_SUBC_061	0.92
WHB:CS202210140_287	owl:NamedIndividual	WMB:CS20230722_SUBC_049	0.91
WHB:CS202210140_312	owl:NamedIndividual	WMB:CS20230722_SUBC_314	0.9
WHB:CS202210140_210	owl:NamedIndividual	WMB:CS20230722_SUBC_061	0.88
WHB:CS202210140_288	owl:NamedIndividual	WMB:CS20230722_SUBC_049	0.87
WHB:CS202210140_311	owl:NamedIndividual	WMB:CS20230722_SUBC_314	0.87
WHB:CS202210140_289	owl:NamedIndividual	WMB:CS20230722_SUBC_049	0.86
WHB:CS202210140_220	owl:NamedIndividual	WMB:CS20230722_SUBC_060	0.8
WHB:CS202210140_396	owl:NamedIndividual	WMB:CS20230722_SUBC_215	0.78
WHB:CS202210140_215	owl:NamedIndividual	WMB:CS20230722_SUBC_061	0.75
WHB:CS202210140_280	owl:NamedIndividual	WMB:CS20230722_SUBC_047	0.75
WHB:CS202210140_211	owl:NamedIndividual	WMB:CS20230722_SUBC_061	0.71
WHB:CS202210140_216	owl:NamedIndividual	WMB:CS20230722_SUBC_061	0.67
WHB:CS202210140_282	owl:NamedIndividual	WMB:CS20230722_SUBC_047	0.65
WHB:CS202210140_367	owl:NamedIndividual	WMB:CS20230722_SUBC_327	0.59
WHB:CS202210140_275	owl:NamedIndividual	WMB:CS20230722_SUBC_049	0.56
WHB:CS202210140_219	owl:NamedIndividual	WMB:CS20230722_SUBC_061	0.51
WHB:CS202210140_276	owl:NamedIndividual	WMB:CS20230722_SUBC_049	0.5
WHB:CS202210140_269	owl:NamedIndividual	WMB:CS20230722_SUBC_050	0.47
WHB:CS202210140_270	owl:NamedIndividual	WMB:CS20230722_SUBC_050	0.45
WHB:CS202210140_416	owl:NamedIndividual	WMB:CS20230722_SUBC_325	0.45
WHB:CS202210140_281	owl:NamedIndividual	WMB:CS20230722_SUBC_047	0.44
WHB:CS202210140_279	owl:NamedIndividual	WMB:CS20230722_SUBC_049	0.38
WHB:CS202210140_268	owl:NamedIndividual	WMB:CS20230722_SUBC_050	0.35
WHB:CS202210140_221	owl:NamedIndividual	WMB:CS20230722_SUBC_061	0.34
WHB:CS202210140_310	owl:NamedIndividual	WMB:CS20230722_SUBC_314	0.33
WHB:CS202210140_313	owl:NamedIndividual	WMB:CS20230722_SUBC_314	0.3
WHB:CS202210140_284	owl:NamedIndividual	WMB:CS20230722_SUBC_049	0.28
WHB:CS202210140_272	owl:NamedIndividual	WMB:CS20230722_SUBC_050	0.26
WHB:CS202210140_274	owl:NamedIndividual	WMB:CS20230722_SUBC_049	0.24
WHB:CS202210140_273	owl:NamedIndividual	WMB:CS20230722_SUBC_049	0.24
WHB:CS202210140_271	owl:NamedIndividual	WMB:CS20230722_SUBC_050	0.21
WHB:CS202210140_220	owl:NamedIndividual	WMB:CS20230722_SUBC_061	0.21
WHB:CS202210140_271	owl:NamedIndividual	WMB:CS20230722_SUBC_049	0.2
WHB:CS202210140_430	owl:NamedIndividual	WMB:CS20230722_SUBC_325	0.2
WHB:CS202210140_274	owl:NamedIndividual	WMB:CS20230722_SUBC_050	0.2
WHB:CS202210140_367	owl:NamedIndividual	WMB:CS20230722_SUBC_318	0.18
WHB:CS202210140_283	owl:NamedIndividual	WMB:CS20230722_SUBC_049	0.18
WHB:CS202210140_416	owl:NamedIndividual	WMB:CS20230722_SUBC_322	0.17
WHB:CS202210140_277	owl:NamedIndividual	WMB:CS20230722_SUBC_047	0.17
WHB:CS202210140_272	owl:NamedIndividual	WMB:CS20230722_SUBC_049	0.17
WHB:CS202210140_283	owl:NamedIndividual	WMB:CS20230722_SUBC_047	0.16
WHB:CS202210140_278	owl:NamedIndividual	WMB:CS20230722_SUBC_049	0.13
WHB:CS202210140_292	owl:NamedIndividual	WMB:CS20230722_SUBC_047	0.12
WHB:CS202210140_151	owl:NamedIndividual	WMB:CS20230722_SUBC_319	0.11
