ID	Type	PCL:0010063	cell_count	cell_ratio	in_or_near_100	completeness	spatial_atlas	source
ID	TYPE	AI PCL:0010063	>AT PCL:0010060^^xsd:integer	>AT PCL:0010065^^xsd:float	>AT n2o:countInOrNear100um^^xsd:integer	>AT n2o:cellCountCompleteness^^xsd:string	>AI n2o:spatialReferenceAtlas	>AI dcterms:source
WMB:CS20230722_CLAS_01	owl:NamedIndividual	MBA:1089	96355	0.146578	105623		n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_CLAS_01	owl:NamedIndividual	MBA:315	440869	0.670661	455123		n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_CLAS_01	owl:NamedIndividual	MBA:477	4913	0.007474	14907		n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_CLAS_01	owl:NamedIndividual	MBA:484682512	730	0.001110	7396		n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_CLAS_01	owl:NamedIndividual	MBA:698	84615	0.128718	95234		n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_CLAS_01	owl:NamedIndividual	MBA:703	23205	0.035300	38765		n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_CLAS_01	owl:NamedIndividual	MBA:983	2976	0.004527	21551		n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_CLAS_01	owl:NamedIndividual	MBA:991	1687	0.002566	19494		n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_CLAS_01	owl:NamedIndividual	MBA:1009	5832	0.008872	43741	lower_bound	n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_CLAS_01	owl:NamedIndividual	MBA:1080	43693	0.066467	52302	exact	n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_CLAS_01	owl:NamedIndividual	MBA:1099	1376	0.002093	15232	lower_bound	n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_CLAS_01	owl:NamedIndividual	MBA:247	14023	0.021332	17647	exact	n2o:CCF2020	doi:10.1038/s41586-023-06812-z
