ID	Type	n2o:locatedInOrNear	n_total	n_in_X	n_in_or_near_100	source
ID	TYPE	AI n2o:locatedInOrNear	>AT n2o:typeCellTotal^^xsd:integer	>AT n2o:countInRegion^^xsd:integer	>AT n2o:countInOrNear100um^^xsd:integer	>AI dcterms:source SPLIT=|
WMB:CS20230722_CLAS_01	owl:NamedIndividual	MBA:1089	1313519	210814	226882	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLAS_01	owl:NamedIndividual	MBA:1097	1313519	46	125	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLAS_01	owl:NamedIndividual	MBA:129	1313519	20	646	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLAS_01	owl:NamedIndividual	MBA:313	1313519	229	4983	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLAS_01	owl:NamedIndividual	MBA:315	1313519	878024	900161	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLAS_01	owl:NamedIndividual	MBA:354	1313519	3	5	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLAS_01	owl:NamedIndividual	MBA:477	1313519	10773	29141	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLAS_01	owl:NamedIndividual	MBA:484682512	1313519	1442	15468	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLAS_01	owl:NamedIndividual	MBA:549	1313519	21	533	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLAS_01	owl:NamedIndividual	MBA:698	1313519	156667	177560	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLAS_01	owl:NamedIndividual	MBA:703	1313519	44048	71061	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLAS_01	owl:NamedIndividual	MBA:803	1313519	120	435	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLAS_01	owl:NamedIndividual	MBA:81	1313519	634	3976	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLAS_01	owl:NamedIndividual	MBA:967	1313519	1896	11237	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLAS_01	owl:NamedIndividual	MBA:983	1313519	4960	39288	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLAS_01	owl:NamedIndividual	MBA:991	1313519	2855	33383	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLAS_01	owl:NamedIndividual	MBA:1002	1313519	14690	19725	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLAS_01	owl:NamedIndividual	MBA:1011	1313519	8182	13989	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLAS_01	owl:NamedIndividual	MBA:1018	1313519	10798	17154	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLAS_01	owl:NamedIndividual	MBA:1037	1313519	9991	15119	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLAS_01	owl:NamedIndividual	MBA:104	1313519	18296	28492	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLAS_01	owl:NamedIndividual	MBA:1057	1313519	9747	15715	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLAS_01	owl:NamedIndividual	MBA:108	1313519	169	1520	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLAS_01	owl:NamedIndividual	MBA:1084	1313519	11942	18779	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLAS_01	owl:NamedIndividual	MBA:1105	1313519	542	2360	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLAS_01	owl:NamedIndividual	MBA:111	1313519	9494	16847	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLAS_01	owl:NamedIndividual	MBA:119	1313519	7362	14652	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLAS_01	owl:NamedIndividual	MBA:131	1313519	6375	10030	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLAS_01	owl:NamedIndividual	MBA:151	1313519	357	1549	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLAS_01	owl:NamedIndividual	MBA:155	1313519	0	89	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLAS_01	owl:NamedIndividual	MBA:159	1313519	40053	48582	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLAS_01	owl:NamedIndividual	MBA:170	1313519	18	341	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLAS_01	owl:NamedIndividual	MBA:178	1313519	0	42	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLAS_01	owl:NamedIndividual	MBA:19	1313519	288	2784	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLAS_01	owl:NamedIndividual	MBA:194	1313519	18	58	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLAS_01	owl:NamedIndividual	MBA:218	1313519	1	28	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLAS_01	owl:NamedIndividual	MBA:226	1313519	0	9	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLAS_01	owl:NamedIndividual	MBA:23	1313519	308	802	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLAS_01	owl:NamedIndividual	MBA:258	1313519	2	92	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLAS_01	owl:NamedIndividual	MBA:262	1313519	0	14	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLAS_01	owl:NamedIndividual	MBA:27	1313519	0	9	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLAS_01	owl:NamedIndividual	MBA:287	1313519	0	3	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLAS_01	owl:NamedIndividual	MBA:292	1313519	1	4	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLAS_01	owl:NamedIndividual	MBA:294	1313519	0	251	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLAS_01	owl:NamedIndividual	MBA:295	1313519	10272	16967	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLAS_01	owl:NamedIndividual	MBA:298	1313519	0	11	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLAS_01	owl:NamedIndividual	MBA:302	1313519	190	4435	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLAS_01	owl:NamedIndividual	MBA:312782546	1313519	11702	16899	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLAS_01	owl:NamedIndividual	MBA:312782574	1313519	4667	8670	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLAS_01	owl:NamedIndividual	MBA:312782628	1313519	7490	11978	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLAS_01	owl:NamedIndividual	MBA:319	1313519	5175	10213	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLAS_01	owl:NamedIndividual	MBA:329	1313519	57791	70733	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLAS_01	owl:NamedIndividual	MBA:333	1313519	3	147	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLAS_01	owl:NamedIndividual	MBA:337	1313519	18547	26218	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLAS_01	owl:NamedIndividual	MBA:342	1313519	17	256	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLAS_01	owl:NamedIndividual	MBA:345	1313519	50195	61452	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLAS_01	owl:NamedIndividual	MBA:351	1313519	78	90	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLAS_01	owl:NamedIndividual	MBA:353	1313519	27424	37884	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLAS_01	owl:NamedIndividual	MBA:361	1313519	9598	16239	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLAS_01	owl:NamedIndividual	MBA:369	1313519	28758	40275	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLAS_01	owl:NamedIndividual	MBA:378	1313519	63088	79147	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLAS_01	owl:NamedIndividual	MBA:38	1313519	3	8	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLAS_01	owl:NamedIndividual	MBA:381	1313519	36	77	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLAS_01	owl:NamedIndividual	MBA:382	1313519	64786	75609	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLAS_01	owl:NamedIndividual	MBA:385	1313519	70403	81761	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLAS_01	owl:NamedIndividual	MBA:39	1313519	18341	28127	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLAS_01	owl:NamedIndividual	MBA:394	1313519	6650	10997	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLAS_01	owl:NamedIndividual	MBA:403	1313519	5651	7687	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLAS_01	owl:NamedIndividual	MBA:409	1313519	10545	16349	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLAS_01	owl:NamedIndividual	MBA:417	1313519	8094	13665	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLAS_01	owl:NamedIndividual	MBA:423	1313519	2253	9796	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLAS_01	owl:NamedIndividual	MBA:425	1313519	4921	8906	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLAS_01	owl:NamedIndividual	MBA:44	1313519	5183	8585	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLAS_01	owl:NamedIndividual	MBA:463	1313519	30368	38027	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLAS_01	owl:NamedIndividual	MBA:475	1313519	0	34	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
