ID	Type	PCL:0010063	cell_count	cell_ratio	in_or_near_100	completeness	spatial_atlas	source
ID	TYPE	AI PCL:0010063	>AT PCL:0010060^^xsd:integer	>AT PCL:0010065^^xsd:float	>AT n2o:countInOrNear100um^^xsd:integer	>AT n2o:cellCountCompleteness^^xsd:string	>AI n2o:spatialReferenceAtlas	>AI dcterms:source
WMB:CS20230722_CLUS_0001	owl:NamedIndividual	MBA:315	920	0.471795	1460		n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_CLUS_0001	owl:NamedIndividual	MBA:477	1	0.000513	330		n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_CLUS_0001	owl:NamedIndividual	MBA:484682512	41	0.021026	290		n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_CLUS_0001	owl:NamedIndividual	MBA:698	456	0.233846	730		n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_CLUS_0001	owl:NamedIndividual	MBA:703	456	0.233846	977		n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_CLUS_0001	owl:NamedIndividual	MBA:983	68	0.034872	569		n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_CLUS_0001	owl:NamedIndividual	MBA:1009	112	0.057436	678	lower_bound	n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_CLUS_0001	owl:NamedIndividual	MBA:247	38	0.019487	57	exact	n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_CLUS_0001	owl:NamedIndividual	MBA:322	35	0.017949	63	exact	n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_CLUS_0001	owl:NamedIndividual	MBA:453	229	0.117436	338	lower_bound	n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_CLUS_0001	owl:NamedIndividual	MBA:485	1	0.000513	309	exact	n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_CLUS_0001	owl:NamedIndividual	MBA:500	112	0.057436	147	lower_bound	n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_CLUS_0001	owl:NamedIndividual	MBA:567	1838	0.942564	1950	lower_bound	n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_CLUS_0001	owl:NamedIndividual	MBA:623	1	0.000513	330	lower_bound	n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_CLUS_0001	owl:NamedIndividual	MBA:688	1837	0.942051	1950	lower_bound	n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_CLUS_0001	owl:NamedIndividual	MBA:695	1381	0.708205	1924	lower_bound	n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_CLUS_0001	owl:NamedIndividual	MBA:714	22	0.011282	82	exact	n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_CLUS_0001	owl:NamedIndividual	MBA:8	1838	0.942564	1950	lower_bound	n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_CLUS_0001	owl:NamedIndividual	MBA:942	194	0.099487	605	exact	n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_CLUS_0001	owl:NamedIndividual	MBA:95	283	0.145128	773	exact	n2o:CCF2020	doi:10.1038/s41586-023-06812-z
