ID	Type	PCL:0010063	cell_count	cell_ratio	in_or_near_100	source
ID	TYPE	AI PCL:0010063	>AT PCL:0010060^^xsd:integer	>AT PCL:0010065^^xsd:float	>AT n2o:countInOrNear100um^^xsd:integer	>AI dcterms:source
WMB:CS20230722_CLUS_0001	owl:NamedIndividual	MBA:315	1622	0.470145	2057	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLUS_0001	owl:NamedIndividual	MBA:477	8	0.002319	213	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLUS_0001	owl:NamedIndividual	MBA:484682512	49	0.014203	362	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLUS_0001	owl:NamedIndividual	MBA:698	789	0.228696	1460	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLUS_0001	owl:NamedIndividual	MBA:703	895	0.259420	1768	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLUS_0001	owl:NamedIndividual	MBA:983	75	0.021739	749	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLUS_0001	owl:NamedIndividual	MBA:104	262	0.075942	480	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLUS_0001	owl:NamedIndividual	MBA:1057	143	0.041449	228	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLUS_0001	owl:NamedIndividual	MBA:111	104	0.030145	244	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLUS_0001	owl:NamedIndividual	MBA:119	122	0.035362	333	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLUS_0001	owl:NamedIndividual	MBA:378	346	0.100290	460	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLUS_0001	owl:NamedIndividual	MBA:541	62	0.017971	107	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLUS_0001	owl:NamedIndividual	MBA:583	175	0.050725	380	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLUS_0001	owl:NamedIndividual	MBA:672	8	0.002319	205	doi:10.1038/s41586-023-06808-9
