ID	Type	n2o:locatedInOrNear	n_total	n_in_X	n_in_or_near_100	source
ID	TYPE	AI n2o:locatedInOrNear	>AT n2o:typeCellTotal^^xsd:integer	>AT n2o:countInRegion^^xsd:integer	>AT n2o:countInOrNear100um^^xsd:integer	>AI dcterms:source SPLIT=|
WMB:CS20230722_CLUS_0001	owl:NamedIndividual	MBA:1089	5400	13	20	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLUS_0001	owl:NamedIndividual	MBA:315	5400	2542	3517	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLUS_0001	owl:NamedIndividual	MBA:477	5400	9	543	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLUS_0001	owl:NamedIndividual	MBA:484682512	5400	90	652	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLUS_0001	owl:NamedIndividual	MBA:698	5400	1245	2190	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLUS_0001	owl:NamedIndividual	MBA:703	5400	1351	2745	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLUS_0001	owl:NamedIndividual	MBA:967	5400	2	32	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLUS_0001	owl:NamedIndividual	MBA:983	5400	143	1318	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLUS_0001	owl:NamedIndividual	MBA:991	5400	5	28	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLUS_0001	owl:NamedIndividual	MBA:1002	5400	34	60	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLUS_0001	owl:NamedIndividual	MBA:1011	5400	20	58	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLUS_0001	owl:NamedIndividual	MBA:1018	5400	75	130	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLUS_0001	owl:NamedIndividual	MBA:104	5400	372	811	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLUS_0001	owl:NamedIndividual	MBA:1057	5400	260	426	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLUS_0001	owl:NamedIndividual	MBA:111	5400	167	462	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLUS_0001	owl:NamedIndividual	MBA:119	5400	232	685	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLUS_0001	owl:NamedIndividual	MBA:131	5400	1	7	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLUS_0001	owl:NamedIndividual	MBA:159	5400	1	7	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLUS_0001	owl:NamedIndividual	MBA:312782574	5400	9	15	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLUS_0001	owl:NamedIndividual	MBA:312782628	5400	13	17	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLUS_0001	owl:NamedIndividual	MBA:329	5400	42	68	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLUS_0001	owl:NamedIndividual	MBA:345	5400	53	103	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLUS_0001	owl:NamedIndividual	MBA:353	5400	10	33	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLUS_0001	owl:NamedIndividual	MBA:378	5400	540	761	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLUS_0001	owl:NamedIndividual	MBA:382	5400	0	3	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLUS_0001	owl:NamedIndividual	MBA:385	5400	29	34	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLUS_0001	owl:NamedIndividual	MBA:409	5400	18	29	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLUS_0001	owl:NamedIndividual	MBA:417	5400	3	6	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLUS_0001	owl:NamedIndividual	MBA:425	5400	4	9	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLUS_0001	owl:NamedIndividual	MBA:541	5400	89	150	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLUS_0001	owl:NamedIndividual	MBA:56	5400	0	17	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLUS_0001	owl:NamedIndividual	MBA:583	5400	435	799	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLUS_0001	owl:NamedIndividual	MBA:672	5400	9	514	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLUS_0001	owl:NamedIndividual	MBA:677	5400	180	308	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLUS_0001	owl:NamedIndividual	MBA:723	5400	79	198	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLUS_0001	owl:NamedIndividual	MBA:746	5400	0	3	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLUS_0001	owl:NamedIndividual	MBA:768	5400	5	28	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLUS_0001	owl:NamedIndividual	MBA:776	5400	143	1318	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLUS_0001	owl:NamedIndividual	MBA:840	5400	2	32	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLUS_0001	owl:NamedIndividual	MBA:886	5400	4	4	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLUS_0001	owl:NamedIndividual	MBA:894	5400	0	3	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLUS_0001	owl:NamedIndividual	MBA:895	5400	32	66	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLUS_0001	owl:NamedIndividual	MBA:918	5400	13	16	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLUS_0001	owl:NamedIndividual	MBA:952	5400	886	2013	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLUS_0001	owl:NamedIndividual	MBA:961	5400	718	1610	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLUS_0001	owl:NamedIndividual	MBA:966	5400	6	30	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLUS_0001	owl:NamedIndividual	MBA:985	5400	213	287	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
