ID	Type	n2o:descendantsPaintedIn	coverage
ID	TYPE	AI n2o:descendantsPaintedIn	>AT n2o:descendantCoverage^^xsd:string
MBA:1008	owl:NamedIndividual	n2o:CCF2020	complete
MBA:1009	owl:NamedIndividual	n2o:CCF2020	partial
MBA:1014	owl:NamedIndividual	n2o:CCF2020	complete
MBA:1065	owl:NamedIndividual	n2o:CCF2020	partial
MBA:1073	owl:NamedIndividual	n2o:CCF2020	partial
MBA:1080	owl:NamedIndividual	n2o:CCF2020	complete
MBA:1083	owl:NamedIndividual	n2o:CCF2020	complete
MBA:1099	owl:NamedIndividual	n2o:CCF2020	partial
MBA:1100	owl:NamedIndividual	n2o:CCF2020	complete
MBA:1117	owl:NamedIndividual	n2o:CCF2020	complete
MBA:1129	owl:NamedIndividual	n2o:CCF2020	partial
MBA:1132	owl:NamedIndividual	n2o:CCF2020	complete
MBA:138	owl:NamedIndividual	n2o:CCF2020	complete
MBA:141	owl:NamedIndividual	n2o:CCF2020	complete
MBA:154	owl:NamedIndividual	n2o:CCF2020	complete
MBA:157	owl:NamedIndividual	n2o:CCF2020	complete
MBA:165	owl:NamedIndividual	n2o:CCF2020	complete
MBA:21	owl:NamedIndividual	n2o:CCF2020	complete
MBA:239	owl:NamedIndividual	n2o:CCF2020	complete
MBA:242	owl:NamedIndividual	n2o:CCF2020	complete
MBA:247	owl:NamedIndividual	n2o:CCF2020	complete
MBA:254	owl:NamedIndividual	n2o:CCF2020	complete
MBA:275	owl:NamedIndividual	n2o:CCF2020	complete
MBA:278	owl:NamedIndividual	n2o:CCF2020	complete
MBA:290	owl:NamedIndividual	n2o:CCF2020	partial
MBA:31	owl:NamedIndividual	n2o:CCF2020	partial
MBA:322	owl:NamedIndividual	n2o:CCF2020	complete
MBA:323	owl:NamedIndividual	n2o:CCF2020	complete
MBA:331	owl:NamedIndividual	n2o:CCF2020	complete
MBA:339	owl:NamedIndividual	n2o:CCF2020	complete
MBA:343	owl:NamedIndividual	n2o:CCF2020	partial
MBA:348	owl:NamedIndividual	n2o:CCF2020	complete
MBA:370	owl:NamedIndividual	n2o:CCF2020	partial
MBA:375	owl:NamedIndividual	n2o:CCF2020	complete
MBA:379	owl:NamedIndividual	n2o:CCF2020	complete
MBA:386	owl:NamedIndividual	n2o:CCF2020	complete
MBA:406	owl:NamedIndividual	n2o:CCF2020	complete
MBA:444	owl:NamedIndividual	n2o:CCF2020	complete
MBA:453	owl:NamedIndividual	n2o:CCF2020	partial
MBA:46	owl:NamedIndividual	n2o:CCF2020	complete
MBA:467	owl:NamedIndividual	n2o:CCF2020	complete
MBA:485	owl:NamedIndividual	n2o:CCF2020	complete
MBA:493	owl:NamedIndividual	n2o:CCF2020	partial
MBA:500	owl:NamedIndividual	n2o:CCF2020	partial
MBA:51	owl:NamedIndividual	n2o:CCF2020	complete
MBA:519	owl:NamedIndividual	n2o:CCF2020	complete
MBA:528	owl:NamedIndividual	n2o:CCF2020	partial
MBA:557	owl:NamedIndividual	n2o:CCF2020	complete
MBA:567	owl:NamedIndividual	n2o:CCF2020	partial
MBA:571	owl:NamedIndividual	n2o:CCF2020	complete
MBA:607	owl:NamedIndividual	n2o:CCF2020	complete
MBA:618	owl:NamedIndividual	n2o:CCF2020	complete
MBA:623	owl:NamedIndividual	n2o:CCF2020	partial
MBA:631	owl:NamedIndividual	n2o:CCF2020	complete
MBA:637	owl:NamedIndividual	n2o:CCF2020	complete
MBA:645	owl:NamedIndividual	n2o:CCF2020	partial
MBA:669	owl:NamedIndividual	n2o:CCF2020	complete
MBA:688	owl:NamedIndividual	n2o:CCF2020	partial
MBA:695	owl:NamedIndividual	n2o:CCF2020	partial
MBA:701	owl:NamedIndividual	n2o:CCF2020	complete
MBA:709	owl:NamedIndividual	n2o:CCF2020	complete
MBA:714	owl:NamedIndividual	n2o:CCF2020	complete
MBA:720	owl:NamedIndividual	n2o:CCF2020	complete
MBA:73	owl:NamedIndividual	n2o:CCF2020	partial
MBA:737	owl:NamedIndividual	n2o:CCF2020	complete
MBA:8	owl:NamedIndividual	n2o:CCF2020	partial
MBA:809	owl:NamedIndividual	n2o:CCF2020	complete
MBA:818	owl:NamedIndividual	n2o:CCF2020	complete
MBA:822	owl:NamedIndividual	n2o:CCF2020	complete
MBA:826	owl:NamedIndividual	n2o:CCF2020	complete
MBA:835	owl:NamedIndividual	n2o:CCF2020	complete
MBA:856	owl:NamedIndividual	n2o:CCF2020	partial
MBA:864	owl:NamedIndividual	n2o:CCF2020	complete
MBA:904	owl:NamedIndividual	n2o:CCF2020	complete
MBA:909	owl:NamedIndividual	n2o:CCF2020	complete
MBA:932	owl:NamedIndividual	n2o:CCF2020	complete
MBA:938	owl:NamedIndividual	n2o:CCF2020	complete
MBA:942	owl:NamedIndividual	n2o:CCF2020	complete
MBA:948	owl:NamedIndividual	n2o:CCF2020	complete
MBA:95	owl:NamedIndividual	n2o:CCF2020	complete
MBA:958	owl:NamedIndividual	n2o:CCF2020	partial
MBA:987	owl:NamedIndividual	n2o:CCF2020	partial
MBA:997	owl:NamedIndividual	n2o:CCF2020	partial
