ID	Type	n2o:notRepresentedIn
ID	TYPE	AI n2o:notRepresentedIn
MBA:1024	owl:NamedIndividual	n2o:CCF2020
MBA:1053	owl:NamedIndividual	n2o:CCF2020
MBA:10672	owl:NamedIndividual	n2o:CCF2020
MBA:10673	owl:NamedIndividual	n2o:CCF2020
MBA:10674	owl:NamedIndividual	n2o:CCF2020
MBA:10675	owl:NamedIndividual	n2o:CCF2020
MBA:10676	owl:NamedIndividual	n2o:CCF2020
MBA:10677	owl:NamedIndividual	n2o:CCF2020
MBA:10678	owl:NamedIndividual	n2o:CCF2020
MBA:10679	owl:NamedIndividual	n2o:CCF2020
MBA:10680	owl:NamedIndividual	n2o:CCF2020
MBA:10684	owl:NamedIndividual	n2o:CCF2020
MBA:10685	owl:NamedIndividual	n2o:CCF2020
MBA:10686	owl:NamedIndividual	n2o:CCF2020
MBA:10687	owl:NamedIndividual	n2o:CCF2020
MBA:10688	owl:NamedIndividual	n2o:CCF2020
MBA:10689	owl:NamedIndividual	n2o:CCF2020
MBA:10690	owl:NamedIndividual	n2o:CCF2020
MBA:10691	owl:NamedIndividual	n2o:CCF2020
MBA:10692	owl:NamedIndividual	n2o:CCF2020
MBA:107	owl:NamedIndividual	n2o:CCF2020
MBA:10708	owl:NamedIndividual	n2o:CCF2020
MBA:10709	owl:NamedIndividual	n2o:CCF2020
MBA:10710	owl:NamedIndividual	n2o:CCF2020
MBA:10711	owl:NamedIndividual	n2o:CCF2020
MBA:10712	owl:NamedIndividual	n2o:CCF2020
MBA:10713	owl:NamedIndividual	n2o:CCF2020
MBA:10723	owl:NamedIndividual	n2o:CCF2020
MBA:10724	owl:NamedIndividual	n2o:CCF2020
MBA:10725	owl:NamedIndividual	n2o:CCF2020
MBA:10726	owl:NamedIndividual	n2o:CCF2020
MBA:10727	owl:NamedIndividual	n2o:CCF2020
MBA:10728	owl:NamedIndividual	n2o:CCF2020
MBA:10732	owl:NamedIndividual	n2o:CCF2020
MBA:10733	owl:NamedIndividual	n2o:CCF2020
MBA:10734	owl:NamedIndividual	n2o:CCF2020
MBA:10735	owl:NamedIndividual	n2o:CCF2020
MBA:10736	owl:NamedIndividual	n2o:CCF2020
MBA:10737	owl:NamedIndividual	n2o:CCF2020
MBA:1143	owl:NamedIndividual	n2o:CCF2020
MBA:1144	owl:NamedIndividual	n2o:CCF2020
MBA:1145	owl:NamedIndividual	n2o:CCF2020
MBA:12993	owl:NamedIndividual	n2o:CCF2020
MBA:12994	owl:NamedIndividual	n2o:CCF2020
MBA:12995	owl:NamedIndividual	n2o:CCF2020
MBA:12996	owl:NamedIndividual	n2o:CCF2020
MBA:12997	owl:NamedIndividual	n2o:CCF2020
MBA:12998	owl:NamedIndividual	n2o:CCF2020
MBA:164	owl:NamedIndividual	n2o:CCF2020
MBA:179	owl:NamedIndividual	n2o:CCF2020
MBA:195	owl:NamedIndividual	n2o:CCF2020
MBA:198	owl:NamedIndividual	n2o:CCF2020
MBA:212	owl:NamedIndividual	n2o:CCF2020
MBA:219	owl:NamedIndividual	n2o:CCF2020
MBA:227	owl:NamedIndividual	n2o:CCF2020
MBA:267	owl:NamedIndividual	n2o:CCF2020
MBA:299	owl:NamedIndividual	n2o:CCF2020
MBA:304325711	owl:NamedIndividual	n2o:CCF2020
MBA:357	owl:NamedIndividual	n2o:CCF2020
MBA:360	owl:NamedIndividual	n2o:CCF2020
MBA:365	owl:NamedIndividual	n2o:CCF2020
MBA:462	owl:NamedIndividual	n2o:CCF2020
MBA:481	owl:NamedIndividual	n2o:CCF2020
MBA:496	owl:NamedIndividual	n2o:CCF2020
MBA:535	owl:NamedIndividual	n2o:CCF2020
MBA:572	owl:NamedIndividual	n2o:CCF2020
MBA:579	owl:NamedIndividual	n2o:CCF2020
MBA:644	owl:NamedIndividual	n2o:CCF2020
MBA:646	owl:NamedIndividual	n2o:CCF2020
MBA:710	owl:NamedIndividual	n2o:CCF2020
MBA:713	owl:NamedIndividual	n2o:CCF2020
MBA:717	owl:NamedIndividual	n2o:CCF2020
MBA:739	owl:NamedIndividual	n2o:CCF2020
MBA:747	owl:NamedIndividual	n2o:CCF2020
MBA:765	owl:NamedIndividual	n2o:CCF2020
MBA:794	owl:NamedIndividual	n2o:CCF2020
MBA:796	owl:NamedIndividual	n2o:CCF2020
MBA:808	owl:NamedIndividual	n2o:CCF2020
MBA:812	owl:NamedIndividual	n2o:CCF2020
MBA:813	owl:NamedIndividual	n2o:CCF2020
MBA:85	owl:NamedIndividual	n2o:CCF2020
MBA:850	owl:NamedIndividual	n2o:CCF2020
MBA:866	owl:NamedIndividual	n2o:CCF2020
MBA:876	owl:NamedIndividual	n2o:CCF2020
MBA:947	owl:NamedIndividual	n2o:CCF2020
MBA:953	owl:NamedIndividual	n2o:CCF2020
MBA:ENTITY	owl:NamedIndividual	n2o:CCF2020
