ID	Type	n2o:paintedIn	atlas_level
ID	TYPE	AI n2o:paintedIn	>AT n2o:atlasLevel^^xsd:string
MBA:1	owl:NamedIndividual	n2o:CCF2020	structure
MBA:10	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:100	owl:NamedIndividual	n2o:CCF2020	structure
MBA:1000	owl:NamedIndividual	n2o:CCF2020	division
MBA:1002	owl:NamedIndividual	n2o:CCF2020	structure
MBA:1004	owl:NamedIndividual	n2o:CCF2020	structure
MBA:1007	owl:NamedIndividual	n2o:CCF2020	structure
MBA:101	owl:NamedIndividual	n2o:CCF2020	structure
MBA:1015	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:1016	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:1017	owl:NamedIndividual	n2o:CCF2020	structure
MBA:1018	owl:NamedIndividual	n2o:CCF2020	structure
MBA:102	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:1020	owl:NamedIndividual	n2o:CCF2020	structure
MBA:1021	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:1022	owl:NamedIndividual	n2o:CCF2020	structure
MBA:1029	owl:NamedIndividual	n2o:CCF2020	structure
MBA:1031	owl:NamedIndividual	n2o:CCF2020	structure
MBA:1033	owl:NamedIndividual	n2o:CCF2020	structure
MBA:1035	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:1037	owl:NamedIndividual	n2o:CCF2020	structure
MBA:1038	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:104	owl:NamedIndividual	n2o:CCF2020	structure
MBA:1041	owl:NamedIndividual	n2o:CCF2020	structure
MBA:1043	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:1044	owl:NamedIndividual	n2o:CCF2020	structure
MBA:1046	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:1047	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:1048	owl:NamedIndividual	n2o:CCF2020	structure
MBA:1049	owl:NamedIndividual	n2o:CCF2020	structure
MBA:105	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:1052	owl:NamedIndividual	n2o:CCF2020	structure
MBA:1054	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:1056	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:1057	owl:NamedIndividual	n2o:CCF2020	structure
MBA:106	owl:NamedIndividual	n2o:CCF2020	structure
MBA:1061	owl:NamedIndividual	n2o:CCF2020	structure
MBA:1064	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:1066	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:10671	owl:NamedIndividual	n2o:CCF2020	structure
MBA:1069	owl:NamedIndividual	n2o:CCF2020	structure
MBA:1070	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:10703	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:10704	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:1072	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:1077	owl:NamedIndividual	n2o:CCF2020	structure
MBA:1079	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:108	owl:NamedIndividual	n2o:CCF2020	structure
MBA:1081	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:1084	owl:NamedIndividual	n2o:CCF2020	structure
MBA:1088	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:1089	owl:NamedIndividual	n2o:CCF2020	division
MBA:1090	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:1092	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:1093	owl:NamedIndividual	n2o:CCF2020	structure
MBA:1096	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:1097	owl:NamedIndividual	n2o:CCF2020	division
MBA:1098	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:1101	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:1102	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:1104	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:1105	owl:NamedIndividual	n2o:CCF2020	structure
MBA:1106	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:1107	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:1108	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:1109	owl:NamedIndividual	n2o:CCF2020	structure
MBA:111	owl:NamedIndividual	n2o:CCF2020	structure
MBA:1113	owl:NamedIndividual	n2o:CCF2020	structure
MBA:1116	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:1120	owl:NamedIndividual	n2o:CCF2020	structure
MBA:1121	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:1123	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:1125	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:1126	owl:NamedIndividual	n2o:CCF2020	structure
MBA:1127	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:113	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:1139	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:114	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:117	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:118	owl:NamedIndividual	n2o:CCF2020	structure
MBA:119	owl:NamedIndividual	n2o:CCF2020	structure
MBA:12	owl:NamedIndividual	n2o:CCF2020	structure
MBA:122	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:123	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:125	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:126	owl:NamedIndividual	n2o:CCF2020	structure
MBA:127	owl:NamedIndividual	n2o:CCF2020	structure
MBA:128	owl:NamedIndividual	n2o:CCF2020	structure
MBA:129	owl:NamedIndividual	n2o:CCF2020	division
MBA:131	owl:NamedIndividual	n2o:CCF2020	structure
MBA:132	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:133	owl:NamedIndividual	n2o:CCF2020	structure
MBA:135	owl:NamedIndividual	n2o:CCF2020	structure
MBA:136	owl:NamedIndividual	n2o:CCF2020	structure
MBA:139	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:140	owl:NamedIndividual	n2o:CCF2020	division
MBA:143	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:145	owl:NamedIndividual	n2o:CCF2020	division
