ID	Type	PCL:0010063	cell_count	cell_ratio	in_or_near_100	completeness	spatial_atlas	source
ID	TYPE	AI PCL:0010063	>AT PCL:0010060^^xsd:integer	>AT PCL:0010065^^xsd:float	>AT n2o:countInOrNear100um^^xsd:integer	>AT n2o:cellCountCompleteness^^xsd:string	>AI n2o:spatialReferenceAtlas	>AI dcterms:source
WMB:CS20230722_NEUR_Chol	owl:NamedIndividual	MBA:1000	22	0.002561	142		n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_NEUR_Chol	owl:NamedIndividual	MBA:1097	363	0.042249	534		n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_NEUR_Chol	owl:NamedIndividual	MBA:129	88	0.010242	1262		n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_NEUR_Chol	owl:NamedIndividual	MBA:145	12	0.001397	120		n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_NEUR_Chol	owl:NamedIndividual	MBA:313	473	0.055051	773		n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_NEUR_Chol	owl:NamedIndividual	MBA:354	1593	0.185405	1762		n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_NEUR_Chol	owl:NamedIndividual	MBA:477	1451	0.168878	2024		n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_NEUR_Chol	owl:NamedIndividual	MBA:512	14	0.001629	64		n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_NEUR_Chol	owl:NamedIndividual	MBA:549	2124	0.247207	2251		n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_NEUR_Chol	owl:NamedIndividual	MBA:698	36	0.004190	78		n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_NEUR_Chol	owl:NamedIndividual	MBA:771	921	0.107193	1059		n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_NEUR_Chol	owl:NamedIndividual	MBA:803	1247	0.145135	1708		n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_NEUR_Chol	owl:NamedIndividual	MBA:81	34	0.003957	685		n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_NEUR_Chol	owl:NamedIndividual	MBA:960	19	0.002211	120		n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_NEUR_Chol	owl:NamedIndividual	MBA:967	65	0.007565	269		n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_NEUR_Chol	owl:NamedIndividual	MBA:983	82	0.009544	249		n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_NEUR_Chol	owl:NamedIndividual	MBA:991	19	0.002211	313		n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_NEUR_Chol	owl:NamedIndividual	MBA:1009	207	0.024092	1007	lower_bound	n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_NEUR_Chol	owl:NamedIndividual	MBA:1065	2514	0.292598	2664	lower_bound	n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_NEUR_Chol	owl:NamedIndividual	MBA:1083	6	0.000698	242	exact	n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_NEUR_Chol	owl:NamedIndividual	MBA:1117	63	0.007332	117	exact	n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_NEUR_Chol	owl:NamedIndividual	MBA:1129	2487	0.289455	2783	lower_bound	n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_NEUR_Chol	owl:NamedIndividual	MBA:1132	141	0.016411	267	exact	n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_NEUR_Chol	owl:NamedIndividual	MBA:141	36	0.004190	113	exact	n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_NEUR_Chol	owl:NamedIndividual	MBA:157	158	0.018389	205	exact	n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_NEUR_Chol	owl:NamedIndividual	MBA:242	137	0.015945	263	exact	n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_NEUR_Chol	owl:NamedIndividual	MBA:275	137	0.015945	263	exact	n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_NEUR_Chol	owl:NamedIndividual	MBA:278	89	0.010358	187	exact	n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_NEUR_Chol	owl:NamedIndividual	MBA:290	80	0.009311	179	lower_bound	n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_NEUR_Chol	owl:NamedIndividual	MBA:323	98	0.011406	299	exact	n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_NEUR_Chol	owl:NamedIndividual	MBA:339	126	0.014665	209	exact	n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_NEUR_Chol	owl:NamedIndividual	MBA:343	5474	0.637104	5907	lower_bound	n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_NEUR_Chol	owl:NamedIndividual	MBA:348	85	0.009893	155	exact	n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_NEUR_Chol	owl:NamedIndividual	MBA:370	1140	0.132682	1502	lower_bound	n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_NEUR_Chol	owl:NamedIndividual	MBA:386	161	0.018738	322	exact	n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_NEUR_Chol	owl:NamedIndividual	MBA:444	0	0.000000	46	exact	n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_NEUR_Chol	owl:NamedIndividual	MBA:467	30	0.003492	107	exact	n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_NEUR_Chol	owl:NamedIndividual	MBA:485	686	0.079842	828	exact	n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_NEUR_Chol	owl:NamedIndividual	MBA:493	435	0.050628	703	lower_bound	n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_NEUR_Chol	owl:NamedIndividual	MBA:528	13	0.001513	50	lower_bound	n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_NEUR_Chol	owl:NamedIndividual	MBA:567	2736	0.318436	2914	lower_bound	n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_NEUR_Chol	owl:NamedIndividual	MBA:571	0	0.000000	233	exact	n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_NEUR_Chol	owl:NamedIndividual	MBA:623	2698	0.314013	2883	lower_bound	n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_NEUR_Chol	owl:NamedIndividual	MBA:645	13	0.001513	50	lower_bound	n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_NEUR_Chol	owl:NamedIndividual	MBA:688	38	0.004423	128	lower_bound	n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_NEUR_Chol	owl:NamedIndividual	MBA:695	37	0.004306	118	lower_bound	n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_NEUR_Chol	owl:NamedIndividual	MBA:701	65	0.007565	158	exact	n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_NEUR_Chol	owl:NamedIndividual	MBA:73	138	0.016061	1437	lower_bound	n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_NEUR_Chol	owl:NamedIndividual	MBA:8	8224	0.957169	8567	lower_bound	n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_NEUR_Chol	owl:NamedIndividual	MBA:818	178	0.020717	318	exact	n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_NEUR_Chol	owl:NamedIndividual	MBA:826	474	0.055168	652	exact	n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_NEUR_Chol	owl:NamedIndividual	MBA:835	498	0.057961	813	exact	n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_NEUR_Chol	owl:NamedIndividual	MBA:856	2122	0.246974	2248	lower_bound	n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_NEUR_Chol	owl:NamedIndividual	MBA:904	474	0.055168	652	exact	n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_NEUR_Chol	owl:NamedIndividual	MBA:938	40	0.004655	131	exact	n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_NEUR_Chol	owl:NamedIndividual	MBA:948	46	0.005354	106	exact	n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_NEUR_Chol	owl:NamedIndividual	MBA:958	2122	0.246974	2230	lower_bound	n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_NEUR_Chol	owl:NamedIndividual	MBA:987	562	0.065410	754	lower_bound	n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_NEUR_Chol	owl:NamedIndividual	MBA:997	8569	0.997323	8592	lower_bound	n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_NEUR_Chol	owl:NamedIndividual	MBA:1022	165	0.019204	298		n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_NEUR_Chol	owl:NamedIndividual	MBA:1031	13	0.001513	47		n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_NEUR_Chol	owl:NamedIndividual	MBA:1048	21	0.002444	75		n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_NEUR_Chol	owl:NamedIndividual	MBA:1052	85	0.009893	133		n2o:CCF2020	doi:10.1038/s41586-023-06812-z
