ID	Type	RO:0002220	contact_um2	min_dist_um	centroid_um	spatial_atlas
ID	TYPE	AI RO:0002220	>AT n2o:contactArea^^xsd:float	>AT n2o:minDistance^^xsd:float	>AT n2o:centroidDistance^^xsd:float	>AI n2o:spatialReferenceAtlas
MBA:1	owl:NamedIndividual	MBA:1004	455625.014	25.000	86.650	n2o:CCF2020
MBA:1004	owl:NamedIndividual	MBA:1	455625.014	25.000	86.650	n2o:CCF2020
MBA:1	owl:NamedIndividual	MBA:1097	939375.028	25.000	1263.888	n2o:CCF2020
MBA:1097	owl:NamedIndividual	MBA:1	939375.028	25.000	1263.888	n2o:CCF2020
MBA:1	owl:NamedIndividual	MBA:614	226875.007	25.000	649.588	n2o:CCF2020
MBA:614	owl:NamedIndividual	MBA:1	226875.007	25.000	649.588	n2o:CCF2020
MBA:100	owl:NamedIndividual	MBA:12	470000.014	25.000	464.095	n2o:CCF2020
MBA:12	owl:NamedIndividual	MBA:100	470000.014	25.000	464.095	n2o:CCF2020
MBA:100	owl:NamedIndividual	MBA:313	1888125.056	25.000	1600.232	n2o:CCF2020
MBA:313	owl:NamedIndividual	MBA:100	1888125.056	25.000	1600.232	n2o:CCF2020
MBA:100	owl:NamedIndividual	MBA:607344830	545000.016	25.000	230.231	n2o:CCF2020
MBA:607344830	owl:NamedIndividual	MBA:100	545000.016	25.000	230.231	n2o:CCF2020
MBA:100	owl:NamedIndividual	MBA:679	320625.010	25.000	919.239	n2o:CCF2020
MBA:679	owl:NamedIndividual	MBA:100	320625.010	25.000	919.239	n2o:CCF2020
MBA:100	owl:NamedIndividual	MBA:771	485625.014	25.000	1212.731	n2o:CCF2020
MBA:771	owl:NamedIndividual	MBA:100	485625.014	25.000	1212.731	n2o:CCF2020
MBA:100	owl:NamedIndividual	MBA:792	16250.000	25.000	318.133	n2o:CCF2020
MBA:792	owl:NamedIndividual	MBA:100	16250.000	25.000	318.133	n2o:CCF2020
MBA:100	owl:NamedIndividual	MBA:824	13750.000	25.000	1898.352	n2o:CCF2020
MBA:824	owl:NamedIndividual	MBA:100	13750.000	25.000	1898.352	n2o:CCF2020
MBA:100	owl:NamedIndividual	MBA:931	2500.000	25.000	1004.844	n2o:CCF2020
MBA:931	owl:NamedIndividual	MBA:100	2500.000	25.000	1004.844	n2o:CCF2020
MBA:1002	owl:NamedIndividual	MBA:1011	3685000.110	25.000	555.415	n2o:CCF2020
MBA:1011	owl:NamedIndividual	MBA:1002	3685000.110	25.000	555.415	n2o:CCF2020
MBA:1002	owl:NamedIndividual	MBA:1018	5124375.153	25.000	596.044	n2o:CCF2020
MBA:1018	owl:NamedIndividual	MBA:1002	5124375.153	25.000	596.044	n2o:CCF2020
MBA:1002	owl:NamedIndividual	MBA:484682512	2326250.069	25.000	1156.189	n2o:CCF2020
MBA:484682512	owl:NamedIndividual	MBA:1002	2326250.069	25.000	1156.189	n2o:CCF2020
MBA:1004	owl:NamedIndividual	MBA:1097	1938750.058	25.000	1282.805	n2o:CCF2020
MBA:1097	owl:NamedIndividual	MBA:1004	1938750.058	25.000	1282.805	n2o:CCF2020
MBA:1004	owl:NamedIndividual	MBA:1126	141875.004	25.000	142.053	n2o:CCF2020
MBA:1126	owl:NamedIndividual	MBA:1004	141875.004	25.000	142.053	n2o:CCF2020
MBA:1004	owl:NamedIndividual	MBA:126	307500.009	25.000	236.929	n2o:CCF2020
MBA:126	owl:NamedIndividual	MBA:1004	307500.009	25.000	236.929	n2o:CCF2020
MBA:1004	owl:NamedIndividual	MBA:830	139375.004	25.000	662.073	n2o:CCF2020
MBA:830	owl:NamedIndividual	MBA:1004	139375.004	25.000	662.073	n2o:CCF2020
MBA:1004	owl:NamedIndividual	MBA:980	300625.009	25.000	400.669	n2o:CCF2020
MBA:980	owl:NamedIndividual	MBA:1004	300625.009	25.000	400.669	n2o:CCF2020
