ID	Type	RO:0002220	contact_um2	min_dist_um	centroid_um
ID	TYPE	AI RO:0002220	>AT n2o:contactArea^^xsd:float	>AT n2o:minDistance^^xsd:float	>AT n2o:centroidDistance^^xsd:float
MBA:1	owl:NamedIndividual	MBA:1004	455625.014	25.000	86.650
MBA:1004	owl:NamedIndividual	MBA:1	455625.014	25.000	86.650
MBA:1	owl:NamedIndividual	MBA:1097	939375.028	25.000	1263.888
MBA:1097	owl:NamedIndividual	MBA:1	939375.028	25.000	1263.888
MBA:1	owl:NamedIndividual	MBA:614	226875.007	25.000	649.588
MBA:614	owl:NamedIndividual	MBA:1	226875.007	25.000	649.588
MBA:10	owl:NamedIndividual	MBA:1061	1193750.036	25.000	913.180
MBA:1061	owl:NamedIndividual	MBA:10	1193750.036	25.000	913.180
MBA:10	owl:NamedIndividual	MBA:17	12715625.379	25.000	256.768
MBA:17	owl:NamedIndividual	MBA:10	12715625.379	25.000	256.768
MBA:10	owl:NamedIndividual	MBA:215	143750.004	25.000	1437.932
MBA:215	owl:NamedIndividual	MBA:10	143750.004	25.000	1437.932
MBA:10	owl:NamedIndividual	MBA:313	4985625.149	25.000	1679.109
MBA:313	owl:NamedIndividual	MBA:10	4985625.149	25.000	1679.109
MBA:10	owl:NamedIndividual	MBA:580	28750.001	25.000	1128.916
MBA:580	owl:NamedIndividual	MBA:10	28750.001	25.000	1128.916
MBA:10	owl:NamedIndividual	MBA:628	401875.012	25.000	895.322
MBA:628	owl:NamedIndividual	MBA:10	401875.012	25.000	895.322
MBA:10	owl:NamedIndividual	MBA:851	9603750.286	25.000	461.941
MBA:851	owl:NamedIndividual	MBA:10	9603750.286	25.000	461.941
MBA:10	owl:NamedIndividual	MBA:916	1777500.053	25.000	1000.055
MBA:916	owl:NamedIndividual	MBA:10	1777500.053	25.000	1000.055
MBA:100	owl:NamedIndividual	MBA:12	5625.000	25.000	547.463
MBA:12	owl:NamedIndividual	MBA:100	5625.000	25.000	547.463
MBA:100	owl:NamedIndividual	MBA:313	70625.002	25.000	1497.161
MBA:313	owl:NamedIndividual	MBA:100	70625.002	25.000	1497.161
MBA:100	owl:NamedIndividual	MBA:607344830	25000.001	25.000	458.857
MBA:607344830	owl:NamedIndividual	MBA:100	25000.001	25.000	458.857
MBA:100	owl:NamedIndividual	MBA:607344838	121875.004	25.000	390.933
MBA:607344838	owl:NamedIndividual	MBA:100	121875.004	25.000	390.933
MBA:100	owl:NamedIndividual	MBA:607344842	141250.004	25.000	190.377
MBA:607344842	owl:NamedIndividual	MBA:100	141250.004	25.000	190.377
MBA:100	owl:NamedIndividual	MBA:607344846	70625.002	25.000	396.926
MBA:607344846	owl:NamedIndividual	MBA:100	70625.002	25.000	396.926
MBA:100	owl:NamedIndividual	MBA:607344850	82500.002	25.000	398.301
MBA:607344850	owl:NamedIndividual	MBA:100	82500.002	25.000	398.301
MBA:100	owl:NamedIndividual	MBA:607344854	27500.001	25.000	303.992
MBA:607344854	owl:NamedIndividual	MBA:100	27500.001	25.000	303.992
MBA:100	owl:NamedIndividual	MBA:607344858	88750.003	25.000	318.599
MBA:607344858	owl:NamedIndividual	MBA:100	88750.003	25.000	318.599
MBA:100	owl:NamedIndividual	MBA:679	213125.006	25.000	554.817
MBA:679	owl:NamedIndividual	MBA:100	213125.006	25.000	554.817
MBA:100	owl:NamedIndividual	MBA:771	153750.005	25.000	912.473
MBA:771	owl:NamedIndividual	MBA:100	153750.005	25.000	912.473
MBA:1004	owl:NamedIndividual	MBA:1097	1938750.058	25.000	1282.805
MBA:1097	owl:NamedIndividual	MBA:1004	1938750.058	25.000	1282.805
MBA:1004	owl:NamedIndividual	MBA:1126	141875.004	25.000	142.053
MBA:1126	owl:NamedIndividual	MBA:1004	141875.004	25.000	142.053
MBA:1004	owl:NamedIndividual	MBA:126	307500.009	25.000	236.929
MBA:126	owl:NamedIndividual	MBA:1004	307500.009	25.000	236.929
MBA:1004	owl:NamedIndividual	MBA:830	139375.004	25.000	662.073
MBA:830	owl:NamedIndividual	MBA:1004	139375.004	25.000	662.073
MBA:1004	owl:NamedIndividual	MBA:980	300625.009	25.000	400.669
MBA:980	owl:NamedIndividual	MBA:1004	300625.009	25.000	400.669
MBA:1007	owl:NamedIndividual	MBA:1041	103750.003	25.000	2872.306
MBA:1041	owl:NamedIndividual	MBA:1007	103750.003	25.000	2872.306
MBA:1007	owl:NamedIndividual	MBA:1056	9627500.287	25.000	506.184
MBA:1056	owl:NamedIndividual	MBA:1007	9627500.287	25.000	506.184
