ID	Type	PCL:0010063	cell_count	cell_ratio	in_or_near_100	source
ID	TYPE	AI PCL:0010063	>AT PCL:0010060^^xsd:integer	>AT PCL:0010065^^xsd:float	>AT n2o:countInOrNear100um^^xsd:integer	>AI dcterms:source
WMB:CS20230722_SUBC_001	owl:NamedIndividual	MBA:1089	86	0.006205	164	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_SUBC_001	owl:NamedIndividual	MBA:315	10685	0.770979	12806	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_SUBC_001	owl:NamedIndividual	MBA:477	10	0.000722	1284	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_SUBC_001	owl:NamedIndividual	MBA:484682512	225	0.016235	1684	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_SUBC_001	owl:NamedIndividual	MBA:698	827	0.059672	1416	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_SUBC_001	owl:NamedIndividual	MBA:703	1546	0.111552	3150	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_SUBC_001	owl:NamedIndividual	MBA:983	464	0.033480	3235	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_SUBC_001	owl:NamedIndividual	MBA:1002	377	0.027203	620	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_SUBC_001	owl:NamedIndividual	MBA:1011	212	0.015297	428	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_SUBC_001	owl:NamedIndividual	MBA:1018	879	0.063424	1309	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_SUBC_001	owl:NamedIndividual	MBA:104	843	0.060827	1977	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_SUBC_001	owl:NamedIndividual	MBA:1057	624	0.045025	1096	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_SUBC_001	owl:NamedIndividual	MBA:111	359	0.025904	1114	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_SUBC_001	owl:NamedIndividual	MBA:119	262	0.018905	849	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_SUBC_001	owl:NamedIndividual	MBA:312782628	77	0.005556	147	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_SUBC_001	owl:NamedIndividual	MBA:329	497	0.035861	708	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_SUBC_001	owl:NamedIndividual	MBA:345	347	0.025038	533	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_SUBC_001	owl:NamedIndividual	MBA:353	288	0.020781	505	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_SUBC_001	owl:NamedIndividual	MBA:378	2777	0.200375	3661	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_SUBC_001	owl:NamedIndividual	MBA:385	111	0.008009	141	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_SUBC_001	owl:NamedIndividual	MBA:409	109	0.007865	164	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_SUBC_001	owl:NamedIndividual	MBA:541	1271	0.091709	1835	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_SUBC_001	owl:NamedIndividual	MBA:583	1195	0.086226	1848	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_SUBC_001	owl:NamedIndividual	MBA:672	9	0.000649	1259	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_SUBC_001	owl:NamedIndividual	MBA:677	430	0.031027	853	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_SUBC_001	owl:NamedIndividual	MBA:723	168	0.012122	353	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_SUBC_001	owl:NamedIndividual	MBA:776	464	0.033480	3235	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_SUBC_001	owl:NamedIndividual	MBA:895	292	0.021069	507	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_SUBC_001	owl:NamedIndividual	MBA:918	80	0.005772	144	doi:10.1038/s41586-023-06812-z
