ID	Type	n2o:locatedInOrNear	n_total	n_in_X	n_in_or_near_100	source
ID	TYPE	AI n2o:locatedInOrNear	>AT n2o:typeCellTotal^^xsd:integer	>AT n2o:countInRegion^^xsd:integer	>AT n2o:countInOrNear100um^^xsd:integer	>AI dcterms:source SPLIT=|
WMB:CS20230722_SUBC_001	owl:NamedIndividual	MBA:1089	32855	193	365	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_001	owl:NamedIndividual	MBA:313	32855	0	6	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_001	owl:NamedIndividual	MBA:315	32855	25283	29083	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_001	owl:NamedIndividual	MBA:477	32855	110	2184	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_001	owl:NamedIndividual	MBA:484682512	32855	410	3492	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_001	owl:NamedIndividual	MBA:698	32855	2022	3850	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_001	owl:NamedIndividual	MBA:703	32855	4000	7780	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_001	owl:NamedIndividual	MBA:81	32855	4	22	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_001	owl:NamedIndividual	MBA:967	32855	4	39	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_001	owl:NamedIndividual	MBA:983	32855	801	6585	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_001	owl:NamedIndividual	MBA:991	32855	27	361	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_001	owl:NamedIndividual	MBA:1002	32855	872	1334	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_001	owl:NamedIndividual	MBA:1011	32855	559	1063	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_001	owl:NamedIndividual	MBA:1018	32855	1603	2529	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_001	owl:NamedIndividual	MBA:1037	32855	3	12	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_001	owl:NamedIndividual	MBA:104	32855	2005	4064	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_001	owl:NamedIndividual	MBA:1057	32855	1198	2047	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_001	owl:NamedIndividual	MBA:111	32855	891	2323	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_001	owl:NamedIndividual	MBA:119	32855	680	1976	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_001	owl:NamedIndividual	MBA:131	32855	15	162	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_001	owl:NamedIndividual	MBA:159	32855	2	10	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_001	owl:NamedIndividual	MBA:295	32855	0	19	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_001	owl:NamedIndividual	MBA:302	32855	0	6	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_001	owl:NamedIndividual	MBA:312782574	32855	123	231	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_001	owl:NamedIndividual	MBA:312782628	32855	209	340	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_001	owl:NamedIndividual	MBA:329	32855	1078	1513	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_001	owl:NamedIndividual	MBA:345	32855	522	873	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_001	owl:NamedIndividual	MBA:353	32855	508	883	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_001	owl:NamedIndividual	MBA:369	32855	1	3	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
