ID	Type	PCL:0010063	cell_count	cell_ratio	in_or_near_100	source
ID	TYPE	AI PCL:0010063	>AT PCL:0010060^^xsd:integer	>AT PCL:0010065^^xsd:float	>AT n2o:countInOrNear100um^^xsd:integer	>AI dcterms:source
WMB:CS20230722_SUPT_0001	owl:NamedIndividual	MBA:315	10019	0.802419	11772	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_SUPT_0001	owl:NamedIndividual	MBA:477	7	0.000561	1157	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_SUPT_0001	owl:NamedIndividual	MBA:484682512	210	0.016819	1574	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_SUPT_0001	owl:NamedIndividual	MBA:698	523	0.041887	940	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_SUPT_0001	owl:NamedIndividual	MBA:703	1242	0.099471	2370	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_SUPT_0001	owl:NamedIndividual	MBA:983	389	0.031155	2704	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_SUPT_0001	owl:NamedIndividual	MBA:1002	371	0.029713	605	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_SUPT_0001	owl:NamedIndividual	MBA:1011	206	0.016498	418	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_SUPT_0001	owl:NamedIndividual	MBA:1018	826	0.066154	1238	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_SUPT_0001	owl:NamedIndividual	MBA:104	789	0.063191	1813	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_SUPT_0001	owl:NamedIndividual	MBA:1057	576	0.046132	1009	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_SUPT_0001	owl:NamedIndividual	MBA:111	203	0.016258	731	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_SUPT_0001	owl:NamedIndividual	MBA:119	222	0.017780	715	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_SUPT_0001	owl:NamedIndividual	MBA:329	496	0.039724	704	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_SUPT_0001	owl:NamedIndividual	MBA:345	346	0.027711	527	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_SUPT_0001	owl:NamedIndividual	MBA:353	288	0.023066	505	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_SUPT_0001	owl:NamedIndividual	MBA:378	2708	0.216883	3551	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_SUPT_0001	owl:NamedIndividual	MBA:541	1163	0.093144	1678	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_SUPT_0001	owl:NamedIndividual	MBA:583	985	0.078888	1531	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_SUPT_0001	owl:NamedIndividual	MBA:672	7	0.000561	1132	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_SUPT_0001	owl:NamedIndividual	MBA:677	373	0.029873	744	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_SUPT_0001	owl:NamedIndividual	MBA:723	167	0.013375	344	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_SUPT_0001	owl:NamedIndividual	MBA:776	389	0.031155	2704	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_SUPT_0001	owl:NamedIndividual	MBA:895	271	0.021704	471	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_SUPT_0001	owl:NamedIndividual	MBA:952	234	0.018741	898	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_SUPT_0001	owl:NamedIndividual	MBA:961	242	0.019382	604	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_SUPT_0001	owl:NamedIndividual	MBA:985	427	0.034198	584	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_SUPT_0001	owl:NamedIndividual	MBA:993	109	0.008730	250	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_SUPT_0001	owl:NamedIndividual	MBA:1021	103	0.008249	240	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_SUPT_0001	owl:NamedIndividual	MBA:1023	352	0.028192	816	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_SUPT_0001	owl:NamedIndividual	MBA:1038	336	0.026910	653	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_SUPT_0001	owl:NamedIndividual	MBA:1070	133	0.010652	370	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_SUPT_0001	owl:NamedIndividual	MBA:1090	430	0.034439	1101	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_SUPT_0001	owl:NamedIndividual	MBA:1101	84	0.006728	275	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_SUPT_0001	owl:NamedIndividual	MBA:1102	296	0.023707	503	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_SUPT_0001	owl:NamedIndividual	MBA:1127	27	0.002162	227	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_SUPT_0001	owl:NamedIndividual	MBA:156	103	0.008249	329	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_SUPT_0001	owl:NamedIndividual	MBA:234	130	0.010412	309	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_SUPT_0001	owl:NamedIndividual	MBA:252	80	0.006407	237	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_SUPT_0001	owl:NamedIndividual	MBA:289	435	0.034839	1057	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_SUPT_0001	owl:NamedIndividual	MBA:314	166	0.013295	703	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_SUPT_0001	owl:NamedIndividual	MBA:344	35	0.002803	208	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_SUPT_0001	owl:NamedIndividual	MBA:440	48	0.003844	206	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_SUPT_0001	owl:NamedIndividual	MBA:484682516	114	0.009130	596	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_SUPT_0001	owl:NamedIndividual	MBA:520	285	0.022826	825	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_SUPT_0001	owl:NamedIndividual	MBA:638	419	0.033558	961	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_SUPT_0001	owl:NamedIndividual	MBA:662	123	0.009851	647	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_SUPT_0001	owl:NamedIndividual	MBA:675	106	0.008490	530	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_SUPT_0001	owl:NamedIndividual	MBA:729	523	0.041887	1212	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_SUPT_0001	owl:NamedIndividual	MBA:783	611	0.048935	1684	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_SUPT_0001	owl:NamedIndividual	MBA:786	48	0.003844	371	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_SUPT_0001	owl:NamedIndividual	MBA:800	71	0.005686	402	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_SUPT_0001	owl:NamedIndividual	MBA:844	386	0.030915	559	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_SUPT_0001	owl:NamedIndividual	MBA:847	199	0.015938	456	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_SUPT_0001	owl:NamedIndividual	MBA:849	58	0.004645	403	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_SUPT_0001	owl:NamedIndividual	MBA:857	272	0.021784	679	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_SUPT_0001	owl:NamedIndividual	MBA:862	2000	0.160179	3244	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_SUPT_0001	owl:NamedIndividual	MBA:889	258	0.020663	493	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_SUPT_0001	owl:NamedIndividual	MBA:893	193	0.015457	1250	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_SUPT_0001	owl:NamedIndividual	MBA:954	81	0.006487	335	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_SUPT_0001	owl:NamedIndividual	MBA:956	179	0.014336	1748	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_SUPT_0001	owl:NamedIndividual	MBA:964	62	0.004966	200	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_SUPT_0001	owl:NamedIndividual	MBA:977	117	0.009370	363	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_SUPT_0001	owl:NamedIndividual	MBA:986	28	0.002243	210	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_SUPT_0001	owl:NamedIndividual	MBA:988	104	0.008329	282	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_SUPT_0001	owl:NamedIndividual	MBA:990	140	0.011213	253	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_SUPT_0002	owl:NamedIndividual	MBA:315	666	0.485069	1034	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_SUPT_0002	owl:NamedIndividual	MBA:477	3	0.002185	127	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_SUPT_0002	owl:NamedIndividual	MBA:484682512	15	0.010925	110	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_SUPT_0002	owl:NamedIndividual	MBA:698	304	0.221413	476	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_SUPT_0002	owl:NamedIndividual	MBA:703	304	0.221413	780	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_SUPT_0002	owl:NamedIndividual	MBA:983	75	0.054625	531	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_SUPT_0002	owl:NamedIndividual	MBA:1018	53	0.038602	71	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_SUPT_0002	owl:NamedIndividual	MBA:104	54	0.039330	164	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_SUPT_0002	owl:NamedIndividual	MBA:1057	48	0.034960	87	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_SUPT_0002	owl:NamedIndividual	MBA:111	156	0.113620	383	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_SUPT_0002	owl:NamedIndividual	MBA:119	40	0.029133	134	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_SUPT_0002	owl:NamedIndividual	MBA:378	69	0.050255	110	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_SUPT_0002	owl:NamedIndividual	MBA:541	108	0.078660	157	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_SUPT_0002	owl:NamedIndividual	MBA:583	210	0.152950	317	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_SUPT_0002	owl:NamedIndividual	MBA:672	2	0.001457	127	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_SUPT_0002	owl:NamedIndividual	MBA:677	57	0.041515	109	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_SUPT_0002	owl:NamedIndividual	MBA:776	75	0.054625	531	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_SUPT_0002	owl:NamedIndividual	MBA:895	21	0.015295	36	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_SUPT_0002	owl:NamedIndividual	MBA:952	70	0.050983	497	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_SUPT_0002	owl:NamedIndividual	MBA:961	224	0.163146	433	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_SUPT_0002	owl:NamedIndividual	MBA:1023	26	0.018937	47	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_SUPT_0002	owl:NamedIndividual	MBA:1101	8	0.005827	37	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_SUPT_0002	owl:NamedIndividual	MBA:187	8	0.005827	23	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_SUPT_0002	owl:NamedIndividual	MBA:289	42	0.030590	96	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_SUPT_0002	owl:NamedIndividual	MBA:314	101	0.073562	363	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_SUPT_0002	owl:NamedIndividual	MBA:344	53	0.038602	191	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_SUPT_0002	owl:NamedIndividual	MBA:484682516	7	0.005098	39	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_SUPT_0002	owl:NamedIndividual	MBA:520	18	0.013110	62	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_SUPT_0002	owl:NamedIndividual	MBA:638	33	0.024035	82	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_SUPT_0002	owl:NamedIndividual	MBA:662	7	0.005098	33	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_SUPT_0002	owl:NamedIndividual	MBA:675	26	0.018937	124	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_SUPT_0002	owl:NamedIndividual	MBA:729	53	0.038602	136	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_SUPT_0002	owl:NamedIndividual	MBA:783	40	0.029133	162	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_SUPT_0002	owl:NamedIndividual	MBA:786	5	0.003642	46	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_SUPT_0002	owl:NamedIndividual	MBA:800	11	0.008012	85	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_SUPT_0002	owl:NamedIndividual	MBA:849	18	0.013110	61	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_SUPT_0002	owl:NamedIndividual	MBA:857	37	0.026948	106	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_SUPT_0002	owl:NamedIndividual	MBA:862	44	0.032047	105	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_SUPT_0002	owl:NamedIndividual	MBA:893	20	0.014567	85	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_SUPT_0002	owl:NamedIndividual	MBA:956	13	0.009468	238	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_SUPT_0002	owl:NamedIndividual	MBA:964	55	0.040058	245	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_SUPT_0002	owl:NamedIndividual	MBA:977	11	0.008012	29	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_SUPT_0002	owl:NamedIndividual	MBA:986	0	0.000000	27	doi:10.1038/s41586-023-06812-z
