ID	Type	n2o:locatedInOrNear	n_total	n_in_X	n_in_or_near_100	source
ID	TYPE	AI n2o:locatedInOrNear	>AT n2o:typeCellTotal^^xsd:integer	>AT n2o:countInRegion^^xsd:integer	>AT n2o:countInOrNear100um^^xsd:integer	>AI dcterms:source SPLIT=|
WMB:CS20230722_SUPT_0001	owl:NamedIndividual	MBA:1089	30959	184	338	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUPT_0001	owl:NamedIndividual	MBA:313	30959	0	6	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUPT_0001	owl:NamedIndividual	MBA:315	30959	24535	27946	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUPT_0001	owl:NamedIndividual	MBA:477	30959	104	2044	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUPT_0001	owl:NamedIndividual	MBA:484682512	30959	395	3371	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUPT_0001	owl:NamedIndividual	MBA:698	30959	1586	3045	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUPT_0001	owl:NamedIndividual	MBA:703	30959	3420	6594	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUPT_0001	owl:NamedIndividual	MBA:81	30959	4	22	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUPT_0001	owl:NamedIndividual	MBA:967	30959	4	39	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUPT_0001	owl:NamedIndividual	MBA:983	30959	701	5850	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUPT_0001	owl:NamedIndividual	MBA:991	30959	26	327	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUPT_0001	owl:NamedIndividual	MBA:1002	30959	864	1315	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUPT_0001	owl:NamedIndividual	MBA:1011	30959	552	1051	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
